,text,affect
72,If i could just get my line to block!  #germantownbroncos #lilleague #popwarner #Broncos #usafootball #offense #lineman,anger
73,Star trek online has a update to download oh fuming yay,anger
74,The war is right outside your door #rage #USAToday,anger
75,The war is right outside your door  #USAToday,anger
76,"A guy was raging so hard during a rocket league game, when i beat him he started crying and i was laughing so hard lol",anger
77,Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat #snap #country #countrygirl,anger
78,Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat  #country #countrygirl,anger
79,After what just happened. In need to smoke. #burning,anger
80,After what just happened. In need to smoke. ,anger
81,I really wish my road rage wasn't so damn bad lmaooooo,anger
82,when you think you've got it together for a day then you randomly burst out crying,anger
83,I just killed a spider so big it sprayed spider guts on me like a horror movie.\n#ugh #revenge,anger
84,"Last night, the Rev. Dr. Earl Johnson spoke to Wake Progressive #Democrats on transforming #moral #outrage into effective political #action.",anger
85,Repeal/remove the 'Johnson Amendment'. It is a direct affront to the First Amendment of the Constitution.,anger
86,I HATE little girls 😡😡 got a lot off growing up to do!!! #fuming,anger
87,I HATE little girls 😡😡 got a lot off growing up to do!!! ,anger
88,Police: Atlanta rapper Shawty Lo killed in fiery car crash,anger
89,No one's gonna chill bc fake outrage is fun or w/e but SPACE COLLEGE,anger
90,I almost feel offended that she thinks that's a big deal. She's knows I'll literally do anything for her or Kai.,anger
91,"And to discriminate only generates hate\nAnd when you hate then you're bound to get irate,",anger
92,Weak people revenge. Strong people forgive. Intelligent people ignore.,anger
93,I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene #anger #fuck #die #hatered,anger
94,I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene  #fuck #die #hatered,anger
95,I wanna kill you and destroy you. I want you died and I want her back. #emo #scene  #fuck #die #hatered,anger
96,I wanna kill you and destroy you. I want you died and I want her back. #emo #scene #anger #fuck #die #hatered,anger
97,Using multiple combs simultaneously is what I like to call impressive work!!    ;-O  #ohsnap #daaamn,anger
98,Using multiple combs simultaneously is what I like to call impressive work!!    ;-O #snap #ohsnap #daaamn,anger
99,Nothing is more relentless than a dog begging for food,anger
100,ok so i got my madden 17 refunded but now i gotta wait a few days for the money and now gotta pre-order fifa again....,anger
101,People that smoke cigarettes irritate my soul.,anger
102,Threat factors in respect to provocation bulb worm: BnQo,anger
103,#Scorpio always seek revenge!,anger
104,"— Self-hatred gives rise to fury, fury to the desire for self-change.",anger
105,You sting like a bee but you're still my honey.,anger
106,"if u have time 2 open a snap, u have time 2 respond",anger
107,"This may offend some, but I say u never trust a cop 🚓 of any color, but especially not a white 1(the evidence is clear)! The klan has awoke",anger
108,"#Forgiveness might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and #revenge.",anger
109,"#Forgiveness might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and .",anger
110,"People will talk, words will sting, but how you handle that is what differs you from them. Be like them or change the culture?#BeDifferent",anger
111,"Be quick to #listen, slow to #speak, and slow to #anger.",anger
112,"Be quick to #listen, slow to #speak, and slow to .",anger
113,Police don't wanna be called pigs but they keep actin like em....honestly that's even an insult to pigs,anger
114,troubled soul don't loose your heart 'cause joy and peace he brings and the beauty that's in store outweighs the hurt of life's sting.,anger
115,We floated like butterflies. Now you sting like bees!',anger
116,"I don't like pineapple I only eat them on pizza, they lose the sting when they get cooked.",anger
117,Ok but how are the fast &amp; furious movies NOT classified as comedy's? 🤔,anger
118,no offense but the doctor crying tears of joy after realizing he has a family for christmas is Cute,anger
119,"warning: i am a sensitive, angry, insecure baby today, but UGH why do people at large either hate or ignore me bc it is literally~the worst~",anger
120,I'm deleting all these social media apps off my phone. I might keep snap chat and insta but I'll never be on it.,anger
121,Panpiper playing Big River outside The Bridges in SR1 #outrage,anger
122,Panpiper playing Big River outside The Bridges in SR1 ,anger
123,I base when it's going to rain here off of brills snap stories.,anger
124,Congrats to #Nicole #bb18 ... Fix that nose now 😒💁🏻 #bitter #petty,anger
125,Congrats to #Nicole #bb18 ... Fix that nose now 😒💁🏻  #petty,anger
126,No offense but to the ppl out there using creams to build your glutes...COME ON. Go squat and what not.,anger
127,The patriots have the lamest color rush jerseys in the whole nfl #madden (I hope they wear them tonight),anger
128,no offense but could troye start dming people so i can feel like less of an idiot when i dm him thanks,anger
129,"Forgiveness might make us look weak, but the weakest person is the one who holds anger, hatred, and revenge.",anger
130,Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!! #fume #instagram,anger
131,Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!!  #instagram,anger
132,Trump supports reach another level of irritation within me,anger
133,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop,anger
134,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism.  #stop,anger
135,RE: #politicallycorrect #BS   What if I am #offended by your assumption the USA should change because you are a 'visitor' &amp; don't like it?,anger
136,ethan was with someone in the car when he did his revenge on grayson,anger
137,Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. ,anger
138,Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. #rage,anger
139,If I do my homework now I can watch revenge and possibly go out tonight'\n*plays on phone for 2 hours to avoid doing homework,anger
140,Dear hipster behind me at the game I am finding it very hard to pay attention while you talk about the politics of grapes of wrath. SHUT UP!,anger
141,White people irritate me.,anger
142,"Y'all bitches be so angry and bitter, that must truly suck lol",anger
143,We're going to get City in the next round for a revenge.,anger
144,Me: *sees incense burner* is this for drugs?,anger
145,So then it's my turn. Soon as he says hi I just burst into tears lmaoo I was so overwhelmed.,anger
146,"And getting offended or furious that a writers style isn;t to your taste is ultimately daft, I suppose.",anger
147,When u are strong u offend the weak &amp; insecure. STAY STRONG. Joshua 1:6-9 #god #internationaldayofpeace #actorslife,anger
148,My irritation level is at an all time high today 🙃,anger
149,#ADP's #ezlabor web portal has to be THE SLOWEST web app I have ever had the displeasure of using!!,anger
150,Here's a tip for everyone: Stop being offended. End.  #quit #youredumb #liveyourownlife,anger
151,Here's a tip for everyone: Stop being offended. End. #offended #quit #youredumb #liveyourownlife,anger
152,These NA kids are relentless,anger
153,Finally uploaded the file I needed to the university server's drop box. It took like half an hour and a lot of cursing and anger on my part,anger
154,"Pro Tip: Go back to work when your kid reaches 20 mos old.  Stay home any longer, and you'll be absolutely miserable with the #tantrums.",anger
155,"Pro Tip: Go back to work when your kid reaches 20 mos old.  Stay home any longer, and you'll be absolutely miserable with the .",anger
156,Me and these burns that I pick up off the pitches don't get on at all like 😢😢 #sting,anger
157,Me and these burns that I pick up off the pitches don't get on at all like 😢😢 ,anger
158,Imagine being bitter when your bias is dating &amp; sending threats to their partner. Like why? That's nasty. And they don't even know you exist,anger
159,Every dancers dream song #snap #worldpower,anger
160,Every dancers dream song  #worldpower,anger
161,Having one of those #angry days. I will have to stop watching #news.,anger
162,Howard Webb always held up as knowing the answers. No red. Sutton and Craigan raging! Hahaha,anger
163,ICQ is just making me mad!!!😤 #icq #angry,anger
164,ICQ is just making me mad!!!😤 #icq ,anger
165,Ppl like that irritate my soul,anger
166,Why is it always me picking up the pieces :/ #angry,anger
167,Why is it always me picking up the pieces :/ ,anger
168,"I've learned to let go of resentment for people who have hurt me, because keeping it is like swallowing poison and expecting them to die.",anger
169,The outrage over Kessel's tweet by butthurt USA players is hilarious.,anger
170,Oh man it's been so long since I've played #madden I am trash anymore.,anger
171,I only have to wave a fiery cross and we will f**kin' do this!,anger
172,"Thou wilt be as valiant as the wrathful dove, or most magnanimous mouse. William Shakesphere",anger
173,"No, nipples don't offend me lol. But it's sad to me to see women purposely flaunting/sexualizing their own bodies in a very immodest way.",anger
174,Thurston offers Gallen a ‘peace’ of his mind: NORTH Queensland playmaker Johnathon Thurston insists he holds no grudge against Paul G...,anger
175,My back is starting to irritate me and it's barely 2:19 😓,anger
176,Manchester derby at home #revenge,anger
177,Manchester derby at home ,anger
178,Defination of a best friends..!!! \n\na person who opens his mouth just to #insult yu..!! :D :D :D,anger
179,Nothing more entertaining and frightening than a #bitter #alcoholic trying desperately to get your attention.....,anger
180,some of the casuals tweets that Vic has faved are making me gag #bitter,anger
181,some of the casuals tweets that Vic has faved are making me gag ,anger
182,"Note to self ~ Stop laughing at things that offend you, it's ok to get mad at people \n #NoteToSelf  #mad #upset",anger
183,"Do not be angry with God because you do not get what you want, for God gives most when you expect least.",anger
184,"Yeah I'm hot nigga, they say im burning uhhhhh",anger
185,Yo gurls Dm for a tribute 😜💦 #snapme #dm #nudes #tribute #cumtribute #cock  #cum #swallow,anger
186,Yo gurls Dm for a tribute 😜💦 #snapme #dm #nudes #tribute #cumtribute #cock #snap #cum #swallow,anger
187,"2 biggest fears: incurable STD's and pregnancy...I mean, they're basically the same thing anyway #forlife #annoying #irritation #weirdsmells",anger
188,"2 biggest fears: incurable STD's and pregnancy...I mean, they're basically the same thing anyway #forlife #annoying  #weirdsmells",anger
189,"#CharlotteRiots #passion? or #anger act of violence.\nIf mourning for those who have past away, #stayhome  #whyout",anger
190,resentment is rlly my shit.,anger
191,i resent being tired and annoyed that the word Wiener is splashed across the news. this should be a slam-dunk for me,anger
192,I can already tell this programme is going to infuriate me #ExtremeWorld,anger
193,Height of irritation when a person makes a hilarious chusssss.... Plz die....😬😬,anger
194,jelly baby is my favourite insult,anger
195,Forever raging 😏😂😭,anger
196,The ppl on here defending cops as they continue to kill innocent ppl or ppl who aren't innocent but clearly cooperate irritate tf outta me,anger
197,Living life so relentless,anger
198,"smh customers getting angry at me bc i aint got no marlboro lights in the gas hut. i called them in 2 hours ago, fuck you.",anger
199,"A 28 yr old man threw a saucepan of boiling water at a garda, &amp; then hit the garda with the shaft of a brush...Letterkenny District Court.",anger
200,Way towards be prominent if your exasperate is peaked?: TGMbNqUEe,anger
201,"Being abroad is causing me to make spontaneous decisions and not worry about things which is good, but the type A part of me is fuming",anger
202,"Everything I see of American police training seems calculated to trample human dignity, inflame outrage, and escalate confrontations.",anger
203,"#GBBO is such a homely pure piece of tv gold. Channel 4 will attempt to tart it up. Mary, Sue and Mel gone. It's over. I'm out. 👋 #fuming",anger
204,"#GBBO is such a homely pure piece of tv gold. Channel 4 will attempt to tart it up. Mary, Sue and Mel gone. It's over. I'm out. 👋 ",anger
205,Constantly fucking boiling and it's not ok,anger
206,"In  fact,  sometimes i don't get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool.",anger
207,All options are on the table - #revenge is coming.,anger
208,Argh a big wasp buzzing between my blinds and my window. Halp! #wasp #evil #buzz ,anger
209,Argh a big wasp buzzing between my blinds and my window. Halp! #wasp #evil #buzz #sting,anger
210,Someone throw a snap dance party for LO. Rest Up big Homie 🙏🏾,anger
211,"If angry, bash out your frustration on the pastry #GBBO",anger
212,and i will strike down upon thee with great vengeance and furious anger those who attempt to poison and destroy my brothers,anger
213,All the young people are so bitter about how the older contestants probably know how to make Bakewell Tarts 😂 #GBBO,anger
214,Why did Alex just growl at me.. 😂😂😂,anger
215,Will give #sleepnumber another chance for customer service. Today's growl is 15+ minutes on hold. Overall bed + service = very unimpressive.,anger
216,I sit at home so damn much that everything is starting to irritate me . I need to get out the house by myself !,anger
217,at least 5 ppl have left my stores in a huff in the past year but ive never had anyone call guest service on me yet so,anger
218,I told myself i wouldn't talk about this but i need to bring it up. I'm slightly bitter about the tøp cover of cancer,anger
219,"Michelle, who did NOTHING is hating on Nicole's game hahaha.... #bitter #bb18",anger
220,"Michelle, who did NOTHING is hating on Nicole's game hahaha....  #bb18",anger
221,I asked Jared to marry me and he said no. #offended,anger
222,I asked Jared to marry me and he said no. ,anger
223,It's #ThirstyThursday which means it's time to #rage. Get ready for tonight with personal #hydration. Book now. 305-912-4937. #itslit #miami,anger
224,Everton not playing and fume on here have day off,anger
225,Marcus Rojo is the worst player i have ever seen. Useless toasting burning bastard,anger
226,"This anger inside I turned to fuel, I burned and watched myself spin down, like inferno types,",anger
227,The side effects of #fighting and #disrespect.. comes #ignoring the person and show you #don'tcare at all!! #sweet #revenge.,anger
228,The side effects of #fighting and #disrespect.. comes #ignoring the person and show you #don'tcare at all!! #sweet .,anger
229,Another L on the board we just cannot match up on paper with these teams at the moment and its showing on the field. Onto Denver ,anger
230,Another L on the board we just cannot match up on paper with these teams at the moment and its showing on the field. Onto Denver #revenge,anger
231,Beyoncé resentment gets me in my feelings every time. 😩,anger
232,Get to the gym and discover I forgot to put my gym shoes back in my bad 😤 #rage #wwhhyyy,anger
233,Get to the gym and discover I forgot to put my gym shoes back in my bad 😤  #wwhhyyy,anger
234,Omg someone asked them to sit and they reluctantly moved with a huff. Biiitttccchhhhhh 🔪,anger
235,how can you hold a grudge for over a year I can barely hold one for a few minutes,anger
236,"says, who are you to compared me with the others; I'm just human. #lit #fire #burning",anger
237,"says, who are you to compared me with the others; I'm just human. #lit #fire ",anger
238,my dogs making the most RIDICULOUS sounds right now its like a high pitched gargle-y growl,anger
239,Time wounds all heels.\n\n#DrunkJesus #rt #lol #wisdom #quote #comedy #self #Revenge #grudge #hate #time #funny #politics #Trump #POTUS2016,anger
240,I don't ever know how to change the vibe once it's ruined. Is that considered holding a grudge? 😅,anger
241,(whisper) I cannot frown.,anger
242,Chick told me I look like Childish Gambino. #insult or #compliment,anger
243,Boys Dm me pictures of your cocks! The best one will get uploaded! ☺️💦💦 #Cumtribute #dm #snap #snapchat #snapme #nudes #dickpic #cocktribute,anger
244,Boys Dm me pictures of your cocks! The best one will get uploaded! ☺️💦💦 #Cumtribute #dm  #snapchat #snapme #nudes #dickpic #cocktribute,anger
245,Dentist just said to me' I'm going to numb your front lip up so it'll feel as if you've got lips like Pete Burns!...... She was right ,anger
246,Dentist just said to me' I'm going to numb your front lip up so it'll feel as if you've got lips like Pete Burns!...... She was right #pout,anger
247,Its worth noting that despite the animosity between the US president and the Israeli president they both behaved as gentleman.,anger
248,Every cal person I have on my snap has chic-fil-a on their story.. Lol #Yummy,anger
249,Clash of the titans and wrath of the titans 🙌🏾🙌🏾🙌🏾 🔥,anger
250,"your outrage (your tweets, your jokes, your attention) is *exactly* what M*lo wants\n\n(this is not meant as a defense)",anger
251,Just watching crimewatch what kind of sick fuck touches 6 year olds 😡😡😡😡 shit like this makes me fume!!!,anger
252,I've never seen fast &amp; furious Tokyo drift. Boutta watch it,anger
253,i'll get my revenge soon,anger
254,if i don't answer your 50 texts pls don't snap me,anger
255,"Good luck to all Fury-Haney players playing this weekend at the Future Stars showcase in Frisco, Tx.  #KGB #G-town #fury",anger
256,"#Scorpio's can withdraw to a quiet place after being hurt, only to think of a plan to sting back.",anger
257,The ghost of Stefano reflects on the grim indignity of being murdered by corrupt cops in faux love. #days,anger
258,Anyway I'm in a car with a furious white men and I have a really funny story to tell when I'm sober 😂,anger
259,2 days on.......never a fucking pen!!!! #nffc ,anger
260,2 days on.......never a fucking pen!!!! #nffc #bitter,anger
261,My anger is boiling over.,anger
262,fuming,anger
263,LOL I have reminders for my ex-gf's birthday approaching. Too bad she considers me acknowledging her existence an affront...,anger
264,Hell hath no fury like a late twenty something dude who's concur for government session keeps expiring before he can submit a form,anger
265,There are adults commiting serious crimes in the name of protest.(like burning a library) how are we just expecting them to get a warning?,anger
266,"Imagine celtic burst the net wae every attempt, but nutt same old dain it hard way usual",anger
267,Fuckin hell even seeing your face makes me fume,anger
268,"Yo,if you're talking about horoscopes do you really have any clue as to what you're saying or are you gonna act offended when I question it?",anger
269,Bon on allume madden,anger
270,is it an insult or compliment to be told i look like a really happy duck,anger
271,"#TheWordOfGOD #taught, #preached #correctly will #ComfortTheAfflicted &amp; #AfflictTheComfortable; it will #offend &amp; #TellTheTruth #AboutSin!",anger
272,not going to waste my energy holding a grudge against someone who wasnt even in my life a year XD \ntime to release those feelings of dislike,anger
273,sixth form has destroyed my glowing skin im fuming,anger
274,very little frustrates me as much as misplacing something. Been looking for my keys for 2 hours now #rage,anger
275,very little frustrates me as much as misplacing something. Been looking for my keys for 2 hours now ,anger
276,Lol Adam the Bull with his fake outrage...,anger
277,This uber driver TRIED it with me &amp; he'll feel my wrath,anger
278,"Should I give the windy tiger those ankle and wrist tapes? I didn't include any character-specific details in the burning fox, so...",anger
279,"Aidy: *has a physics question*\nAidy: '... ok, I'm not gonna ask Tristan cause I don't wanna aggravate her'",anger
280,India should now react to the uri attack..... ,anger
281,India should now react to the uri attack..... #revenge,anger
282,I'd rather dump gasoline all over myself and run into a burning building than use Excel.,anger
283,The medicine is burning  me,anger
284,Another raging storm brought on by my own emotions sorry everyone. enjoy the thunder,anger
285,Just found out tonight my son will not be doing practical work counting towards his GCSE exam. OK then! I thought STEM was all the rage??,anger
286,"Good luck to all Fury-Haney players playing this weekend at the Future Stars showcase in Frisco, Tx. #KGB #G-town ",anger
287,"gonna eat, pick up my brother, get my car washed &amp; finally go home ressssst &amp; watch all fast &amp; furious movies 🤘🏼",anger
288,"Yeah, no. I don' mind tweetin' that twice. #snap #blm #likeThat",anger
289,"Yeah, no. I don' mind tweetin' that twice.  #blm #likeThat",anger
290,#Violence doesn't fix violence. #pain and #anger are the same reaction in the brain. Cure the pain and the anger will go away.,anger
291,"Tears and eyes can dry but I won't, I'm burning like the wire in a lightbulb",anger
292,I'm furious!!!!,anger
293,"Especially when it comes to voicing a displeasure, if you can't tell me straight up then hold your peace ✌️️",anger
294,Oh yeah Squid face God madden 17 xbox1 come see me,anger
295,My cat is bloody lucky the RSPCA weren't open at 3am last night!!! #fuming 😡🐱,anger
296,Circle K is dead to me. I hate your new slushie machine. #irate #livid,anger
297,Circle K is dead to me. I hate your new slushie machine.  #livid,anger
298,the world drives whoever it has assessed as tenderhearted or vulnerable to build up their guards &amp; invigorate raging self defense mechanisms,anger
299,I can see how this will end\nIn all its bitter tragedy\nI'll give you all I have to spend\nAnd you'll give nothing back to me,anger
300,"Or when they hmu on snap, and I'm like.. which one are you. 💀",anger
301,I freaking hate working with #word on my phone #rage #write #writing #writerslife #writerproblems #writer,anger
302,I freaking hate working with #word on my phone  #write #writing #writerslife #writerproblems #writer,anger
303,Fear the fearsome fury of the forest fawn!,anger
304,I love when people say they aren't racist right before they say some racist shit... Not how that works... #fuming,anger
305,I love when people say they aren't racist right before they say some racist shit... Not how that works... ,anger
306,What's with all pre industrial revolution-esque footwear? You guys tryin out for grapes of wrath today?,anger
307,A persons opinion doesn't offend me at all,anger
308,I hate not having the answers I need. #tomourssuck #prayinsnotcancer #angry,anger
309,I hate not having the answers I need. #tomourssuck #prayinsnotcancer ,anger
310,Mia has the worst road rage I have ever seen and she gets so mad when I put my hands on her windows lol,anger
311,so many 'protests for peace' going on lately but all i see is people burning down they're own cities and hometowns. Practice what u preach.,anger
312,One more day tiff.. One more day!,anger
313,For every minute you are angry you lose sixty seconds of happiness. - Ralph Waldo Emerson #quote,anger
314,Hey all you white people out there; are you #offended when people refer to you as a Cock Asian? #NoSeriously,anger
315,Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.,anger
316,"In inter-group relationships, #anger makes people think in more negative and prejudiced terms about outsiders.",anger
317,Y'all do the most on twitter and snap,anger
318,Is there a perfume that smells like the smell of smokey incense because i would be all about that,anger
319,Goddamn headache. #anger,anger
320,Goddamn headache. ,anger
321,Never let me see you frown,anger
322,People who go the speed limit irritate me,anger
323,hey long time no tweet but im rooting for paul to win bc he is the only one that played bb and james for 2nd bc he doesnt irritate me #BB18,anger
324,finally leaving my first job soon. i've been working here since i was 16. going to be kind of bitter sweet,anger
325,"LGBTQ media should inform, inspire, entertain &amp;unite our community. It shouldn't give platform 2 those whose goal is 2 offend us 4 attention",anger
326,Cuz even the bible talks about the son coming back with a fiery sword he got from his mother. They just called her a whore in revelations,anger
327,"meeting tiff at the mall soon, congrats on getting that L babes❣",anger
328,"Anger that you are willing to take out on people &amp; the world in general, &amp; ALL #police, is WORST, most indefensible kind of #anger.",anger
329,"Anger that you are willing to take out on people &amp; the world in general, &amp; ALL #police, is WORST, most indefensible kind of .",anger
330,He's seriously so frustrating sometimes! (╯°□°）╯︵ ┻━┻ #ugh #raging,anger
331,He's seriously so frustrating sometimes! (╯°□°）╯︵ ┻━┻ #ugh ,anger
332,#Pain is an aspect of #human evolution; the evolution of #consciousness. #attachments #desire #apathy #sentimentality #tears #fury #anger #O,anger
333,#Pain is an aspect of #human evolution; the evolution of #consciousness. #attachments #desire #apathy #sentimentality #tears   #O,anger
334,i used to think the fire detector going off at my old place when boiling water was bad but this one went off bc of DUST and wouldnt turn off,anger
335,Fucking hell. Rush for the damn train also no use. Fucking 4min wait. Still sweating. #rage #smrtruinslives,anger
336,Fucking hell. Rush for the damn train also no use. Fucking 4min wait. Still sweating.  #smrtruinslives,anger
337,"People are #hurt and #angry and it's hard to know what to do with that #anger Remember, at the end of the day, we're all #humans #bekind",anger
338,im 16 if you want to see my dick snap/kik me at hiya2247 😘 #kik #kikme #snapchat  #snapme #horny #porn #naked #young,anger
339,im 16 if you want to see my dick snap/kik me at hiya2247 😘 #kik #kikme #snapchat #snap #snapme #horny #porn #naked #young,anger
340,How on earth can the projection of all that is good and happy and true in my soul be a poisonous fucking snake? #patronus #adder #offended,anger
341,How on earth can the projection of all that is good and happy and true in my soul be a poisonous fucking snake? #patronus #adder ,anger
342,bows are world of tank creats rubberbath sting weeks of,anger
343,the Bushes were good with the forces of resentment when it made them money and gave them power. Now that it doesn't they've changed tunes.,anger
344,I'd pay good money to watch someone slap that pout off Candice.,anger
345,Hell hath no fury like a sound technician scorned'\n\nThat's the quote right,anger
346,Hell hath no fury like a bureaucrat scorned. ― Milton Friedman,anger
