,text,affect,Unnamed: 2,Unnamed: 3
203,in thy call you Sister in #Peace thy hate U,fear,,
204,"I think its jus Gods will that i dont live in new zealand with my fams , cuz God only knows if i was down there ... jeeeesus christ ",anger,,
205,Eh...exam finals time... ,sadness,,
206,I made a &quot;Highlander&quot; reference last night about how there can be only one black guy at the party. Only ONE person got it. ,sadness,,
207,i can't watch KKTNY cause i don't have cable ): ,sadness,,
208,I wanted Taylor Swift or Katy Perry to be nominated for album of the year.......awk  ,sadness,,
209,"Is it weird that I have a of typing in the wrong thing when I know I was typing too fast, and sent it w/o checking?",fear,,
210,Harry's life is tragic. His hug bounced like spalding and he was out of coverage area when he reached the house ,sadness,,
212,Senior year set in yesterday  an i never could sleep good ,sadness,,
213,"This house feels so empty without my Scout. Also, missing Dad a lot today. ",sadness,,
215,&quot;people think that  is a sign of weakness...It is that is a sign of weakness...patience is a sign of strength.&quot; ~ Dalai Lama,anger,,
216,am not gonna watch barcelona match today ;'( ,sadness,,
217,"But that ain't how it works, that ain't how it goes,& i'll be getting high just to balance out the lows ",fear,,
218,et que ça serait trop chouette qu'on paye les femmes à rester à la maison. ,fear,,
219,I'm expecting an extremely important phonecall any minute now #terror #opportunity,fear,,
220,"Damn. I've bought a lot from them before, but suddenly Amazon Japan no longer ship to Norway. Also, not paying 3x the amount on Ebay. ",anger,,
221,have to drink water so that the kidneys are not sick !! :(,fear,,
223,"still can't find that audio file I want. nobody seems to have a copy of it anymore either...DAMN YOU, NON PHYSICAL FORM OF MEDIA!!! ",anger,,
227,Hate driving next to 18 Wheelers. Heart starts pounding through my chest every time. ,fear,,
229,"I would breeze through them Spiders, the Snakes however... different matter ",fear,,
230,"Apparently, Maldonado has signed with Williams for next year...so sadly, I think Rubens' F1 driving life is over :/ ",sadness,,
231,"For all those years you've protected the seed, it's time to become the beautiful flower.~S.C. Paul   ",fear,,
232,how to ruin a perfectly good night: my fridge is so cold it separated the most delicious vanilla frosting ever. ,sadness,,
233,There is only one thing that makes a dream impossible to achieve: the of #failure. Basically I'm saying focus on getting ur mind right,fear,,
234,The toys R us advert makes me want to scream. ,anger,,
235,Missed Amazing Race &amp; 60 minutes cut into the TiVo  ,sadness,,
236,smh wus wrong wit niggas these days a  that  to another  does it out of in my eyes smh lot of niggas lie to me,fear,,
238,I'm not actually writing a physics exam today ,fear,,
239,I lost my heart in the beginnings of winter... And I was so convinced... ,sadness,,
240,"looks like its  again, maybe it will snow enough so we can have a snow day.. Oh wait Im an adult now.  ",sadness,,
242,On sad thing about  waking up the smell of great food nd knowing it can't be touched till later. ,sadness,,
243,got excited because we had chex mix at home...opened the bag and realized someone ate all the good stuff and just left chex. ,sadness,,
244,"I swear, every night I just creep my timeline till I reach where I left off #imoverit",sadness,,
246,Got all my journal done but vocabulary 9 and 10 an sentences for them then took at shower brushed teeth an now maybe I can get to bed ,anger,,
247,my god! i been trying to open this bag of take out for like 10 min.. i just stabbed the bag with my fork #problemsolved,anger,,
248,No matter how much I wanna ask one simple question I know that it might ruin our friendship ,sadness,,
249,My feather just fell out of my hair in the shower... ,sadness,,
250,"I Really Dislike Natural AFFness, I don't mind ina jokey way or a couple words here &amp; there, but PROPER AFF ",disgust,,
251,maybe its a good Idea 2 recall our  in  &amp; send them back their ambassador in till things Calm Down #pakistan,disgust,,
256,Don’t ever touch an angry person without their permission.       ,anger,,
259,"Where ever resides at in your life move in that direction with boldness! The more u go, the less it has power ova you.",fear,,
262,Mum just told me she won't be goin overboard for xmas as I'm an adult now ,anger,,
263,The awkward moment when you wake up with a snake wraped around your hair... ,disgust,,
265,Got to go to sleep or not :( night not in a good me .... #sad #sick #moodyme,anger,,
266,Can parents teach kids how to cover their mouths when they cough? Ewah. ,disgust,,
267,Taking a larger perspective on your anger can help control it. #bornmad,anger,,
269,"Is ur child a worry wart? Here is a tip from, &quot;Wilma Jean the Worry Machine.&quot; Genuinely accept your child’s    ",fear,,
270,I said no to the same boy like 5 times last night! ,sadness,,
272,"For the record, I'm cool with virgins, but these roommates are completely destroying feminism. #Virgindiaries",sadness,,
273,"every night, fake smiles every morning.",sadness,,
274,You know you're having a shitty day when your profile picture stops moving... ,sadness,,
275,is my ginger gal at Subway transferred. Now I have to spell-out my order every AM.,sadness,,
277,Python friend is explaining to me how he wrote his own CMS. I cannot seem to convince him to dump his crappy host and learn Django. ,sadness,,
278,Great day love when my car gets hit.. ,anger,,
280,I'm not an idiot- I know what a proper running vehicle should sound like   ,anger,,
281,I hate wanting to give my all but not knowing if i'll get it back ,fear,,
282," and .... Think about it,,,,based on your belief, u don't even lose your #LIFE when u lose your physical #LIFE #UseITdontUseIT",fear,,
283,I hate it when you talk to someone every single day and then it just stops. All of a sudden neither of you say a word to each other ,sadness,,
284,Moral to the story? A little can be used as a huge #advanage. #pointtoprove,fear,,
285,"Life is short, live it.  is rare, grab it. Anger is bad, dump it. is awful, face it. #Memories are sweet, cherish them.",fear,,
286,I really can't be nice to some people without them getting the wrong idea. ,sadness,,
287,"im not gonna lie, my family celebrates christmas without christmas trees, where's the festivity?!?!? #gay",sadness,,
288,I really want to go black Friday shopping but I have no one to go with..  ,sadness,,
289,My brand new machete needs sharpening after my first shave with it.  ,sadness,,
290,Actually crying because of gossip girl   ,sadness,,
291,Ive listened to drop the world so many times  that im pretty sure my dog knows the lyrics ,anger,,
292,"ooooh early shifts... ooh my dear early shifts, why don't you all go to f**k off! #FML",sadness,,
293,Our main server got borked!  Check here for deals instead!  ,sadness,,
294,"So I think im watching a good movie, and then they kill the little boy. WTF. #heartbreak",sadness,,
295,I got my retainer on today. It feels so weird; I can't sleep because I keep touching it with my tongue... ,sadness,,
296,Missing Judas Priest's farewell tour in Toronto tonight. ,sadness,,
297,Really not liking myself right now! I hate fucking up. Fuck! ,anger,,
298,when creepy people don't get the hint to stop texting you.... ,sadness,,
299,This damn strip club is wacky as ,sadness,,
300,I hate it when I cant help someone when they feel sad. It makes me sad.  ,sadness,,
301,Just had a great movie marathon with my wonderful roommate   #wawa #chinese can't get any better than that :),fear,,
303,People who say you broke their computer because you figured out what was wrong should die in a house fire.    ,anger,,
304,"these ads that come on the side saying flirting has never been so easy. man, why is the world filled with desperate people i say ",sadness,,
306,"after 45 minutes of waiting, my project is finally printed out.... ",anger,,
308,The break up scene in The Notebook &lt;&lt; :(,sadness,,
311,"I was interviewing a gurl and she flipped the tables on me by questioning me in the freakest way ever! The rapist got mind raped, ppl! ",fear,,
312,They say your penis is related to your shoe size. Well that makes the of getting raped by a clown much scarier.,fear,,
313,I'm going to feel extremely hungry tomorrow from not enjoying the yearly Thanksgiving meal. ,sadness,,
317,Tenn and Ole Miss declined to play SC next year. ,fear,,
318,That awkward moment when you just want to punch a baby. ,anger,,
319,I'm sorry but if you're going to do an act 1 run through I think maybe it should be finished before you try it..? ,anger,,
320,"The 3 reasons I miss living in Houston: Zio's, Gringos, and Casa Ole. The food of my childhood! #Dallasrestaurantssuck",sadness,,
321,"Je suis foutu. Les Québécois ont trouvé mon mail, ils m'avertissent que je dois utiliser courriel dans mes articles ",fear,,
322,Uhhh... Migraine... Go away!! I'm not sure if I'm about to pass out or vomit... Uhh.. I wish someone was here to hold me! ,sadness,,
323,Damn if only she knew. :( I don't wanna fall for you ckuz ik you won't pic me up. Trying hard not to. ,fear,,
325,Sneezing an simultaneously farting ,fear,,
326,Anger prevents proper thinking and makes you vulnerable.- Wooden   ,anger,,
327,Night tweeps!! Back to school ulit bukas! If you think the worst is over... wait for the exam results.. :) #Exams #AHSJuniorsExams,fear,,
328,The  advert is possibly the most annoying thing on Tv. Makes me run up to the twat and clatter him. ,anger,,
329,Some folks r really mean 2 me. That doesn't scare me. What scares me is how ridiculous it became 2 suggest 2 pay for music  ,fear,,
331,man. must now leave the warmth of my pvt bath and heater to brave the cold and wet outside to go food shopping. ,sadness,,
332,didn't buy a wii/zelda today and all I can think about is how much I wanna play skyward sword. #woeisme,sadness,,
336,Josh doesn't like Christmas music ,sadness,,
337,"Rappel: d'ici au 31/12, les banques européennes doivent présenter des ratios de solva corrects malgré les pertes sur la Grèce ",fear,,
338,My dog has an ear infection taking to the vet now:( ,sadness,,
339,been home for the past 45 min and iv been working on homework :'( break is so over ,sadness,,
340,Only you can make me fly to the moon and fall to the earth ,sadness,,
341,Most people are secret haters. They throw salt in the low! ,sadness,,
342,Loneliness. It can cause a bad effect-- when we least expect it and have the lowest tolerance for it. I only want it when I'm reading. ,fear,,
343,Seeing a stray dog run right pass you on Morehouse campus.. ,fear,,
344,"For the first time this entire week, im going to bed before 4 am ",sadness,,
346,is nothing else than perverted #faith. Your ability to fear is a proof of your ability to #believe.,fear,,
347,I wish I lived on the West Coast so it would be 3 hours earlier and it would be 7:35 p.m. instead of 10:35 p.m. ,sadness,,
348,"I'm really pissed, I'll go brush my teeth to cool off. #Contempt #Rage",anger,,
349,"Les podcasts, le time-shifting, ... suis en train de comprendre. ",fear,,
350,Had the BEST Thanksgiving in a while. Well except for the part where my cousin-in-law's gram died. You will be greatly missed Gram! ,sadness,,
351,"tweet dengan artis macam tweet sorang2 , xkuase nak tweet dengan artis  ",disgust,,
353,Lost It &amp; Left A Vmail on the House Phone!! ..,anger,,
355,"in pratica stasera ho scoperto che devo spaccarmi il culo in due, che l'importante è &quot;il nome&quot;, e per il nome devo accumulare soldi ",sadness,,
357,"I seriously need to get a job, all this free time to sit &amp;  think is not good at all ",sadness,,
359,Now I have an upper back pull! Great...I feel like a contortionist who couldn't get anything right ,disgust,,
360,On another note: Tonight I noticed great  and dead-end  on a lot of people's eyes.  and #cynicism. #feeling #urgency,sadness,,
361,"i hate the song FA LA LA :DD i don't want to hear that anymore, sorry beliebers i don't really like the song when i heard it .. ",sadness,,
363,I'm ready to go the hell home. So stop talking and check me out! ,anger,,
365,i hate selfish people ! i ask for one thing and youcant even do that ,anger,,
367,Overheard during Thanksgiving dinner: &quot;They're going to PROVIDENCE&quot; &quot;executions&quot; &quot;drive-bys&quot; &quot;murder rate&quot; &quot;that awful parking garage&quot; ,fear,,
368,"Comme au match aller, un CSKA sans génie subit la loi des Lillois...jusque dans les dernières minutes? #LDC #LOSC",fear,,
369,my entire drunken family is trying to get me to play just dance. this is horendous.   ,fear,,
370,I'm in the most painful situation in definition of: damned if I do and damned if I don't #life #love what is #therightthing,fear,,
374,Never answer ur  revenge with you'll only lose,anger,,
376,"I also hate the dentist , and that's were I am heading to. I wish he was on strike lol #brokentooth",fear,,
377,"of the Unknown #changes, replace #stability and #familiarity with ambiguity and# uncertainty. #JO #Amman #ReformJO #Jordan",fear,,
379,"No, you blowing your cigarette smoke in my face is not sexy.  ",disgust,,
380," last forever, last til the person gets over it and confronts it or til someone badder comes along.",fear,,
381,It is 4 minutes until Cody Simpson in NYC and im not there you'll do great love &lt;33,sadness,,
382,"I decree and declare the has NO authority over your life, In Jesus Name, Amen.",fear,,
383,"Oh and instead of playing Apples to Apples with his family, I watched the Dolphins lose. By one. Freaking. Point. ",sadness,,
384,"When Gamestop tells you that you have 2-day shipping, they really mean that in five days, your order will still not me shipped ",anger,,
385,"WAS excited for some late-night painting last night...but when I opened my new paints, the yellow was all dried out.  ",sadness,,
386,"I´m a fool for hating the wrong person for the right reasons, and not hating the right person for the wrong reasons  ",sadness,,
387,Hate public transportation  ,disgust,,
388,Holy fuck! my stocking! wtf! Nooooooooo! God Noooooo! you monster.... ,anger,,
391,"when you say you're from guilderland, all the local college kids think you're a spoiled rich fag  ",sadness,,
393,Bon. On va tenter la cuisine avec l'huile d'arachide ... ,fear,,
394,So I'm outside sitting n my car and a fag just walked by my car and said &quot; fish I can't wait to spend around on that nigga dick&quot;  ,disgust,,
395,"not afraid of tomorrow, for I have seen yesterday and I love today #less",fear,,
396,Damn internet. Keeps knocking me out. I want to punch someone. management #stressed,anger,,
398,"bulls need to complete signandtrade for crawford, sign bulter.. the rest of the league can sit back and pull the covers up their chins ",fear,,
399,I hate shopping with my mother ,anger,,
401,"so confused and misunderstood, need this game tomorrow to let out some ! #CantWait",anger,,
403,I think they call this... um... Venting ,fear,,
404,"Forget Everything And Remember, For Everything A Reason. ",fear,,
406,Not gonna lie... Some people's morals &amp; values completely me...,disgust,,
407, is like the red headed male  step-child of who ain't come out the closet and got a black sheep for a pet.,fear,,
410,comes from inability to change or control the situation #CHILL,anger,,
411,It's sad .. People hate on you because your being you and they can't lol ,sadness,,
412,"First mark of the year. Dayum, what a bad bad mark. ",sadness,,
414,F.E.A.R. - False Evidence Appearing Real.  #quotes #quote #kktny #ff #follow #kardashians #kardashians #kuwtk,fear,,
415,"Love/hate relationship with rain today: It allowed me to take my first weekday nap ALL year, but cancelled my evening plans. ",sadness,,
416,It is in NO way about stomach cramps! Feeling of pure with my stomach,disgust,,
417,često zamišljam taj dan ali to me sve više udaljava od istog ,fear,,
418,I hate people with really shit taste in music! Seriously shut up!! ,anger,,
419,The only reason you don't have a fist in your face is that you have combat training. #nohomo #notcool,anger,,
420,how do you let go of the fear when it is time to step up to the plate? ,fear,,
421," is the of phobias, or the fear of fear. A person with Phobophobia is mortified of developing a #phobia. #facts",fear,,
422,Ever since gettin into a heated argument with my ARA I walk by her office and give her the dirtiest look ,disgust,,
424,I've just realized tonight it'll be the last Sectionals with the actual awesome cast :(  ,sadness,,
426,"I'm literally finding stuff I've been looking for since the 9th grade, but I still can't find what I'm looking for right now. ",sadness,,
427,My family is at a spa in Arizona and I'm in my cube staring at excel  ,anger,,
429,since i got an iphone... i tweet like less than half the amount that i used to... ,sadness,,
430,"I love Christmas music more than any other kind, but I only get to enjoy it for two months per year. Luckily it's #ChristmasSeason!",sadness,,
431,Silva on the bench in such a vital game !? This proves the strength in depth City have. ,disgust,,
432,i miss when MTV was all about Pimp My Ride and Yo Momma ,sadness,,
433,"Oh and to the 4 sluts behind us at the game, you guys are only remotely attractive when your shirts are off #youre30",disgust,,
434,"People talk about things being awkward, awkwardness only enters a situation if you allow it too, awkwardness comes from ",fear,,
437,"wat du i fink about success? It sucks, its much stress...i guess i blew up quick....success.....JAY Z",fear,,
439,Three hour grammar final in half an hour. ,fear,,
440,"Giving the mouse hand puppet a gravelly, Michael Gambon-esque voice at Thanksgiving got mixed responses from young cousins. #Laughter",fear,,
443,Giving this a try.. No owl lamp #sleeptweet,fear,,
444,I made 2 pumpkin pies and only had 1 small slice :'( ,sadness,,
445,Mstww..jux listening 2 listening to Ferguson and Ferdinand on Euro sport..wlh!,anger,,
447,"miss geng-2 clan , bila la aku bole join korang ? :/",fear,,
448,is the wrong use of imagination. It is anticipating the worst not the best. #WGTB,fear,,
449,My fb is running so slow I'm close to punching the screen ,anger,,
451,"-  is short, live it.  is rare, grab it. is bad, dump it. #Fear is awful, face it. #Memories are sweet, cherish them.",anger,,
453,Dixieland Delight is on the radio #imissYL,sadness,,
454,Just received a brand new  but it seems to hate my SIM card.   support tells me they don't know whats wrong :( ,sadness,,
455,"A blind man trying to find his way o the toillet ... On a moving train, stumbles a lil and indian woman mumbles hes drunk.. HES BLIND ",anger,,
456,   Infiltration in our lives. The illusion of so we accept their political Solutions.,fear,,
457,Been eating chocolate for a year this weekend. ,disgust,,
459,"Don't get the impression that you arouse my anger. You see, one can only be angry with those he respects. ~Richard M. Nixon ",anger,,
461,effin' school blocks... every 10 seconds I get a request for an administrator's password.  GRRRRRRR!!!,anger,,
462,SCREW YOU ONTARIO COLLEGES SITE!! YES I KNOW ANOTHER PERSON BY MY NAME HAS MY ACCOUNT. THAT PERSON IS ME!! LET ME SIGN IN AND APPLY! ,anger,,
463,"Missed the bus :'( cold, bored &amp; on my todd #sidefringe",sadness,,
464,suck my fucking dick!  ,disgust,,
466,I hate these hipsters that are occupying Wall Street. Get a job! ,disgust,,
467,Your my parents. I shouldn't have to change to make you love me. You should love me as I am.  #whydoyoudothistome?,sadness,,
468, having my heart broken...I hope to never go through a pain like that again. ,sadness,,
469,Been up all night.. I dozed off once n woke up n thought it all was a dream. But then I realized he was really gone ,sadness,,
471,"This year I don't intend to drive in the snow, and ESPECIALLY not on the motorway. RESPECT mother nature ",fear,,
472, has told U not to &amp; not to be #afraid.  That should be good enough reason for you to enter this day with #fearless #confidence.,fear,,
473,"Such a sad day when my first boss, and owner of Newberry's one screen theatre, dies. #crazymanbutmissyouanyway",sadness,,
474,This things appear to be true but I know for sure its false ,fear,,
475,"When I was an adoption agent, we put folk thru the RINGER to get kids. But any old Travionica Jenkins can bust em out. And KEEP them. ",fear,,
476,"ooooh,I was on fire on the bus today!",anger,,
