,text,affect,sentiment
66,You are not supposed to give people advice!,anger,negative
67,Now couldn't you just have made some sort of inappropriate joke?,anger,negative
68,They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,anger,negative
69,"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",anger,negative
70,"So Ross, what your problem?",anger,negative
71,Why can't you get a girlfriend your own age?,anger,negative
72,That's funny. Umm.  It's not funny.,fear,negative
73,"Umm, but I think if you give me umm, one chance I can, I can change your mind.",fear,negative
74,Okay. I'll give you one chance to change my mind.  You got one minute.,anger,negative
75,"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",anger,negative
76,Guys?,anger,negative
77,Guys?,anger,negative
78,She is gonna hate me.,fear,negative
79,Will you marry me?,fear,negative
80,Hey lady! I don't care how much you want it! Okay?! I am,disgust,negative
81,What a baby.,sadness,negative
82,Total wuss!,sadness,negative
83,And-and-and-and-and the toothpicks?,disgust,negative
84,You kissed another woman!,anger,negative
85,"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.",anger,negative
86,Happy?! Is that what I'm supposed to be Vic? Happy?,anger,negative
87,"Well, why don't you tell me what you're supposed to be!",anger,negative
88,Because I sure as hell can't figure it out!,anger,negative
89,I talk to you and nothin'.,anger,negative
90,"You look at me, and it's nothin'.",anger,negative
91,Nothing.,anger,negative
92,"Well, I don't understand why Adrienne's attracted to Victor.",disgust,negative
93,"Ah, it's says so in the script!",anger,negative
94,"Y'know ah, I-I don't know why my character likes you either, I mean it says in the script here that you're a bitch.",anger,negative
95,It doesn't say that in the script.,anger,negative
96,It does in mine!,anger,negative
97,I can't,anger,negative
98,Yeah! You gotta tell a girl before you tape her. Such a rookie mistake.,anger,negative
99,"Hey, hang up! You get food poisoning just talkin' to that place.",disgust,negative
100,"Uh sorry, wrong number.",fear,negative
101,I don't think this number's right!,sadness,negative
102,Oh come on!!,sadness,negative
103,"Gotta go. I miss you too, I love you, but it's getting real late now",sadness,negative
104,You're one to talk.,disgust,negative
105,Oh man. Please tell me one of 'em is Ma.,disgust,negative
106,"Dude, I am sorry about what I said!",sadness,negative
107,"No, no, you're right, it is a ridiculous name!",disgust,negative
108,"Yes it is! From now on, I have no first name.",anger,negative
109,"No! Ace is low! Ace, two, three, four!",anger,negative
110,Come on apartment! Come on apartment!  Oh! I know queen is high!,anger,negative
111,I don't know!,fear,negative
112,"Especially by that professor we ran into last night, Judgey von Holierthanthou.",anger,negative
113,Yeah. What-what should I do?,fear,negative
114,I couldn't do it.,sadness,negative
115,Ah whatever!,anger,negative
116,Don't touch him!,anger,negative
117,I-I keep hearing all these rumors that I might get fired.,fear,negative
118,"Okay, they even have actors coming in to read for my part!",fear,negative
119,"Come on man, you-you got to give me a second chance!",sadness,negative
120,Stupid!,anger,negative
121,God!,anger,negative
122,"Hi. Look um, about what happened earlier...",sadness,negative
123,I was gonna give you a chance to apologise to me.,disgust,negative
124,For what? For letting you throw me out of your office?,anger,negative
125,You had no,anger,negative
126,"Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I.",anger,negative
127,"But I told you, I didn't have the time!",anger,negative
128,"Yeah, well you never have the time. I mean, I don't feel like I even have a girlfriend anymore, Rachel.",anger,negative
129,"Wh, Ross what do you want from me?",anger,negative
130,"You want me, you want me to quit my job so you can feel like you have a girlfriend?",anger,negative
131,"One pregnant woman at a time, please! I just want you to be okay.",disgust,negative
132,So forcing her to marry Bobby is gonna make that happen?,sadness,negative
133,"Maybe!  Well! Wellso-so uh, what kind of music does Numb NutsOh forget it! I can't!",anger,negative
134,"Joey, I am scared to death about this.",fear,negative
135,"But I really think I can do it, I'm just gonna need some help.",fear,negative
136,"Look, Rachel's told me how much easier you've made all this on her. Why can't you do that for me?",anger,negative
137,Because! Cause Cause you're my baby sister!,sadness,negative
138,I was scared of telling you.,fear,negative
139,"Well I'd be scared of them, but all right.",fear,negative
140,"Joey, I can't stand the thought of having this baby with you mad at me.",sadness,negative
141,I want him to have his uncle.,sadness,negative
142,Is my baby gonna have his Uncle Joey?,sadness,negative
143,No! Seriously! What's wrong with you?!,anger,negative
144,"Og-ee-op, I'm not asking for me, I'm I mean No, I'm-I'm not gay, I'm not asking you out.",fear,negative
145,I'm not-I'm not-I'm not gay!,fear,negative
146,"Umm, excuse me, we switched apartments. You can't eat are food anymore, that-that gravy train had ended.",anger,negative
147,"No. No, not at all, that's-that's ridiculous.",sadness,negative
148,"Ye-ye-yeah, yes I do!",sadness,negative
149,You can't wear that! I'm wearing the famous tux! James Bond's tux!,anger,negative
150,SoIf you wear that you'll make mine less special.,sadness,negative
151,"Sorry, I just don't like the idea of when I say ""I do,"" he's thinking, ""Yeah, I'd do her too!""",anger,negative
152,What?! No! It was my idea!,anger,negative
153,Does calling it not mean anything anymore?!,anger,negative
154,"Aw, honey it's not your fault, y'know this is who you are, and I love you, and I want us to be friends, and if I keep living here I don't see that happening.",sadness,negative
155,What? I'm just said.,sadness,negative
156,"I mean, I mean I was gonna be homeless.",sadness,negative
157,"She moved in with a guy who was secretly married to her and he said he didn't love her, but he really did, and it just blew up!",anger,negative
158,"...Dammit, hire the girl!  Okay, everybody ready?",anger,negative
159,"Yeah, it was really hard.",sadness,negative
160,"Ok, you weren't there.",anger,negative
161,You gotta take the canoe!,anger,negative
162,We're not throwing it away! I built that canoe!,anger,negative
163,Good for you!!,anger,negative
164,"Oh sure, go with the sissy.",disgust,negative
165,Jason is not a sissy!,anger,negative
166,"Oh no-no-no-no, I meant Chandler.",anger,negative
167,You think it looked amazing?,sadness,negative
168,I don't like sitting up here! I'm just gonna over,anger,negative
169,No Rachel! They got here first!,anger,negative
170,DANGER,fear,negative
171,Oh but look! That's gonna leave a stain!,disgust,negative
172,I've never lived like this before.,disgust,negative
173,You'd better act surprised.,fear,negative
174,This is so typical. I'm always the last one to know everything.,anger,negative
175,Yuh-huh!,anger,negative
176,I was the last one to know when Chandler got bitten by the peacock at the zoo.,anger,negative
177,I was the last one to know when you had a crush on Joey when he was moving in.,anger,negative
178,Chandler! He's your father.  he should be at the wedding.,anger,negative
179,I don't even know the man. Okay? We're not that close. I haven't seen him in years.,disgust,negative
180,Well what are you gonna do when he finds out he wasn't even asked?!,sadness,negative
181,"I hang out with you guys, and he stars in a drag show in Vegas.",disgust,negative
182,Nobody is gonna be staring at the bride when the father of the groom is wearing a back-less dress.,disgust,negative
183,Who in the hell are you?,anger,negative
184,"No-no, Rachel, don't get it! He can't see us!",fear,negative
185,"No, yeah! The groom cannot see the bride!",anger,negative
186,I'm not gonna marry Chandler!,anger,negative
187,Not after this!,anger,negative
188,"Oh, wait, Joshua! Joshua!   Yeah, well, that oughta do it.",sadness,negative
189,"Oh, are you sure you're ok?",sadness,negative
190,Does it still hurt?,sadness,negative
191,Yeah.,sadness,negative
192,This sucks! I didn't know I had to stay up all night before I went to this stupid sleep clinic! I'm so tired!,anger,negative
193,"Y'know, they're not gonna get married anyway!",anger,negative
194,Come on!,anger,negative
195,They rushed into this thing so fast it's ridiculous!,disgust,negative
196,"What, did you actually thought it would make me feel better to give me stuff that I can't use for another two months?!",anger,negative
197,This sucks!,anger,negative
198,Ow!! Ow!!!,disgust,negative
199,Said what? Exactly.,fear,negative
200,"Oh my God!! Ohh, that is it! I'm leaving! You are just a horrible person!",disgust,negative
201,Wait-wait-wait-wait-wait-wait-wait-wait!!,fear,negative
202,If you're gonna get all sensitive about it!,anger,negative
203,I don't want to lose you.,sadness,negative
204,You-you're the one who's been telling me to get over Ross and move on.,anger,negative
205,That almost hit me in the face.,anger,negative
206,Yeah?,fear,negative
207,"The wedding is off, sloppy and immature!",anger,negative
208,Shrill?! The wedding is back on!,anger,negative
209,Chandler!,anger,negative
210,Just slice that baby right off!,fear,negative
211,No-no. We,fear,negative
212,"Uh-oh, I feel another one coming.",fear,negative
213,"No thanks, Mom!",disgust,negative
214,"Ha-ha, it's not my baby, ha-ha-ha!",anger,negative
215,"Well, I just checked our messages and Joshua didn't call.",sadness,negative
216,I mean you'd think he'd be worried about me not showing up at his club.,sadness,negative
217,"Ugh, you know what makes it so much worse, Ross is all happy in Vermont!",sadness,negative
218,No!,anger,negative
219,That was a test!,fear,negative
220,In a couple of hours I'm gonna get really drunk and wanna call Kathy and you guys are gonna have to stop me!,fear,negative
221,"And then after that, I'm gonna get so drunk, I'm gonna wanna call Janice",fear,negative
222,Ohhh!!,anger,negative
223,That and arrogance.,anger,negative
224,Joe?,fear,negative
225,"Well, it's just the reason that I'm asking is because I kind of eh, uh, I was unable toI mean I really wanted to, but I couldn't.",fear,negative
226,"There huhhmm, there-there was an incident.",fear,negative
227,"Take whatever you want, just please don't hurt me.",fear,negative
228,"Yes, on a scale from 1 to 10, 10 being the dumbest a person can look, you are definitely 19.",disgust,negative
229,"Young! You're a man-child okay?! Now go get changed because everybody's ready and please, oh please, keep my underwear!",disgust,negative
230,"Look, this is my home and I want to be able to come and go whenever I want!",anger,negative
231,"Okay, I will find someplace else to do the rest of my appointments. I just don't know what the big deal is!",anger,negative
232,"The big deal is I don't want naked, greasy strangers in my apartment when I want to kick back with a puzzlebeer! Cold beer.",disgust,negative
233,Do you always have to bring him here?,anger,negative
234,Nobody sees the king!,anger,negative
235,"Well, I kinda wanted to sell the cookies. The girl who sells the most wins a trip to Spacecamp, and gets to sit in a",sadness,negative
236,"No. The one in Atlantic City, Dad loves the slots. He says he's gonna double the college money my Grandma left me.",sadness,negative
237,It's not a real game! I made it up!,anger,negative
238,"Doesn't matter, I'm never gonna get to meet her anyway.",sadness,negative
239,"Because it's impossible to find her apartment! She lives in some like of hot girl parallel universe, or something.",sadness,negative
240,I did,anger,negative
241,"Monica, betting the apartment, I don't know about this.",fear,negative
242,"All right, let's do it.",fear,negative
243,"You don't want to be guys, you'd be all hairy and wouldn't live as long.",disgust,negative
244,"Y'know you, you just stop being such a wuss and get those off and you come with us and watch naked girls dance around!!",anger,negative
245,I'm sorry.,sadness,negative
246,"You gotta help me out here, you gotta set me up, you gotta get me back in the game.",fear,negative
247,And the two times we went out were just plain awkward.,disgust,negative
248,"I mean that ain't a pretty picture in the morning, y'know what I mean.",disgust,negative
249,"That wig all in disarray, and boobs flung over the night stand, y'know.",disgust,negative
250,"That only is not funny, it's physically impossible!",anger,negative
251,Okay?,anger,negative
252,Depending    on the species I'd have to have a six foot long...,anger,negative
253,It's not funny!,anger,negative
254,I can't believe you put that on my alumni page!,anger,negative
255,You'd better hope not because I just read what you put on your    page today.,anger,negative
256,Oh oh oh! I RESPECTFULLY DISAGREE!!,anger,negative
257,"So, rocks.",disgust,negative
258,"I'm really gonna miss this apartment. Y'know, Ben-Ben took his first steps right over there.",sadness,negative
259,"Well, I mean if uh, if Emily gave me a choice",sadness,negative
260,HEY!! Do you,anger,negative
261,Stop it! I will kill you. I hate the fact that my room is so small.,anger,negative
262,"Monica, you don't even have a bed, you sleep in a ball on the floor!",anger,negative
263,I'm sorry. I'm so sorry.,sadness,negative
264,Shut up! This place is a hole!,anger,negative
265,No-no!,fear,negative
266,"No, no-n-n-n-no!!",fear,negative
267,You are going to a clinic!,disgust,negative
268,"You're going to a clinic, and a pyjama store!",disgust,negative
269,I am hurt!  A plague on both your houses!,sadness,negative
270,"By the way, he dumped me tonight after he read my review.",sadness,negative
271,"Oh, classy.",disgust,negative
272,"Yep! I sure know how to pick em, huh? Y'know I gave up a part on a soap for this!",sadness,negative
273,"Wow! Yeah I ah, I gave up a job too.",anger,negative
274,"Uh, de-clawing cats.",anger,negative
275,We'll stop by every news stand and burn every copy of their Times and the Post.,anger,negative
276,Great.  You got anything that's not,disgust,negative
277,"Huh, Rach I got to say it's gonna take a lot of money for me to go out on a date with a dude.",disgust,negative
278,"Sorry, Pheebs.",sadness,negative
279,"Yeah. Well, umm.....",sadness,negative
280,"Yeah, I'm fine.",sadness,negative
281,"No! Really, no, please, please, that's, that's okay.",sadness,negative
282,"Oh, yeah, I'm not, I'm not hungry.",sadness,negative
283,"Come on, pick up, pick up!",fear,negative
284,"Okay, I have to tell you something that I have never admitted during our entire friendship!",anger,negative
285,"But, when we were in high school I made out with James Farrell even when I knew that you liked him!",anger,negative
286,"Okay, you go!",anger,negative
287,"Ugh, Monica, I know about you and Chandler.",disgust,negative
288,"Well, I wouldn't know because I got so freaked out that I hung up the phone.",anger,negative
289,All right. So you're telling me that there is nothing going on between you and Chandler.,anger,negative
290,I don't know! I didn't come with her!,anger,negative
291,Oh shoot! I work Monday nights.,sadness,negative
292,"Hey, I've been honing!",anger,negative
293,"Oh, uh..",fear,negative
294,I want her to think I might be in a restaurant.. y'know?,fear,negative
295,"I might have some kind of life, like I haven't been sitting around here honing for the past few hours.",anger,negative
296,Oh my God!  Go away!  Stop looking in here!,anger,negative
297,"Great, now he's waving back.",disgust,negative
298,"Man, we gotta do something about that guy.",disgust,negative
299,"This morning, I caught him looking into our apartment.",disgust,negative
300,It creeps me out!,anger,negative
301,I feel like I can't do stuff!,anger,negative
302,"Will you grow up? I'm not talking about sexy stuff, but, like, when I'm cooking naked.",disgust,negative
303,"It's just y'know, been a couple of hours, and she hasn't called. Not that I even care, y'know.",sadness,negative
304,You think you know me so well.,anger,negative
305,I can't.,sadness,negative
306,I can't.,sadness,negative
307,"She dumped me, I mean I totally trusted her and then one day it was Okay, bye Pheebs' gone.",sadness,negative
308,"Y'know what the saddest part is, when we were playing together, that was like the most fun I've ever had in like all my lives.",sadness,negative
309,Nuh-uh.,fear,negative
310,"Well, you may wanna rethink the dirty underwear.",disgust,negative
311,"Ok, ok, now what is wrong with my",anger,negative
312,"Ok, so it's just because it was my table, I have to buy a new one?",anger,negative
313,"What rule? There's no rule, if anything, you owe me a table!",anger,negative
314,How'd you get to that?,anger,negative
315,"Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio",anger,negative
316,"Well, let's just say the impressions you made in the butter left little to the imagination.",disgust,negative
317,You'd tell me if you were moving out right,fear,negative
318,"Aw, I know all about Kip!",anger,negative
319,"It's just that we bought a hibachi together, and then he ran off and got married, and things got pretty ugly.",anger,negative
320,"Well, let me ask you something, was Kip a better roommate than me?",sadness,negative
321,"Aw, don't do that",sadness,negative
322,"Ooh, oh no! I have to go! I have a massage appointment.",sadness,negative
323,Oh my God! Oh my God! I'm so sorry!,fear,negative
324,You think you can knock up my daughter and then not marry her?! I'm gonna kill you!!,anger,negative
325,Y'know this is actually not a great time for me.,sadness,negative
326,Really?,anger,negative
327,"Ohh, okay, I'm sorry.",sadness,negative
328,You are asking me to be your wife!,anger,negative
329,"Barry, I'm sorry...",sadness,negative
330,I am so sorry...,sadness,negative
331,"I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway...",sadness,negative
332,"Oh, well don't take it to the same place you took the stereo, cause they've had that thing for over a week.",disgust,negative
333,You're disturbing my oboe practice.,anger,negative
334,You don't play the oboe!,anger,negative
335,I could play the oboe!,anger,negative
336,"All right that's, that's it!! Get off her!",anger,negative
337,What's going on?!  That's what's going on!!,anger,negative
338,I have been down in your store for twenty minutes trying to get a tie!,anger,negative
339,What do I have to do to get some service?!,anger,negative
340,"Look, I feel really bad about how I freaked you out before, so I called the father and asked him to meet you here so you can tell him.",sadness,negative
341,Go!,anger,negative
342,"I may play the fool at times, but I'm a little more than a pretty blond girl with an ass that won't quit.",anger,negative
343,"Uh, let's rip!",fear,negative
344,No!,disgust,negative
345,We’re not peeking?,sadness,negative
346,I?ve got some bad news.,sadness,negative
347,What?,fear,negative
348,"Come on sweetie! You?ve had to work late every night for the past two weeks, what is it this time?",sadness,negative
349,Well we?re gonna miss you around here.,sadness,negative
350,"Yeah, me too.",sadness,negative
351,Well there's some people who do want to marry me.,anger,negative
352,Yeah! Richard!,anger,negative
353,That-that he's a-a complex fellow who's unlikely to take a wife!,anger,negative
354,That-that he's against marriage and always will be!,anger,negative
355,"You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",fear,negative
356,Oh.,sadness,negative
357,"Listen, do you think- and try not to let my intense vulnerability become any kind of a factor herebut do you think it would be okay if I asked you out?",fear,negative
358,"Oh, I don't know.",fear,negative
359,"Oh-ho yeah! A song with rhyming words. Oo, I never thought of that before.",anger,negative
360,Look at you. All jealous.,anger,negative
361,Say you'll stay beside me,sadness,negative
362,"Okay, see, see, everyone else is happy she's done.",anger,negative
363,"Ross, no! There is",anger,negative
364,"Ross, I am a human doodle!!",anger,negative
365,So?!,disgust,negative
366,Yeah huh!! Cover yourself up!,disgust,negative
367,"I don't believe this! When someone asks you in for lemonade, and to you that means they wanna have sex?",disgust,negative
368,I'm such a jerk.,sadness,negative
369,We've been on the road six hours and you've been asleep for five and a half!,anger,negative
370,We are switching at the next rest stop and,anger,negative
371,Yeah! And until then you are going to sing to me because the radio's broken and you are selfish but have a nice voice.,anger,negative
372,Sing!!,anger,negative
373,The musician right outside the restaurant...it's kind    of a mood-killer!,sadness,negative
374,"What, what, what is it with you and this holiday?",anger,negative
375,"Oh, I hate this story.",sadness,negative
376,"I have--and I remember this part vividly--a mouthful of pumpkin pie, and this is the moment my parents choose to tell me they're getting divorced.",sadness,negative
377,Yes. It's very difficult to appreciate a Thanksgiving dinner once you've seen it in reverse.,sadness,negative
378,Oh no. Could I get anyone a coffee orpoison? No? Just for me? Okay.,fear,negative
379,"Nothing! Phoebe kinda made a mistake. But y'know you do wear that sweater a lot, are you involved in some kind of dare?",fear,negative
380,"Oh, it's just not the right time.",sadness,negative
381,I can handle the stick!!,anger,negative
382,I can't believe this is taking so long. How are you doing?,sadness,negative
383,Oh not bad. Do you know that feeling when you're trying to blow a Saint Bernard out your ass?,sadness,negative
384,That's funny. Does it-does it hurt? Does the labor hurt?,fear,negative
385,"Man, I'm starving! What the hell was I thinking at dinner?! ""Do you want soup or salad?"" Both! Always order both!",anger,negative
386,I just saw Danny getting on the subway with a girl and he had his arm around her.,sadness,negative
387,"Oh, honey, I'm sorry.",sadness,negative
388,"Well, you should be, this is all your fault! You meddled in our relationship!!",anger,negative
389,You had no relationship!!,anger,negative
390,"No, but I was doing my thing and everything was going according to the plan!",anger,negative
391,"Oh God, stop with the plan!",anger,negative
392,Who cares?!,anger,negative
393,That doesn't mean anything!,anger,negative
394,"Yeah, it's a real shame you can't make it to that one-woman    show tonight.",sadness,negative
395,Stupid Jane Rogers!!,anger,negative
396,And you weren't going to tell us? How did you think you were    gonna get away with that?,anger,negative
397,I didn't have to tell you that!! I'm stupider than Jane Rogers!!,anger,negative
398,"Oh, that's why you got these tickets to that play, to get rid    of us??",anger,negative
399,And last year is that why you sent us to that medieval times    restaurant?,anger,negative
400,"OH! And the year before that, when you set up that nighttime    tour of that button factory?",anger,negative
401,"We were walking by this antique store, and I saw this pin in the window, and I told him that it was just like one my grandmother had when I was a little girl.",sadness,negative
402,F-hah.... flennin....,fear,negative
403,"Well that was depressing, I think I just bought a soft pretzel from one of the kids from",sadness,negative
404,"No you doy'know what, you're not gonna suck me into this.",anger,negative
405,"Oh sure I am, because you always have to be right.",anger,negative
406,"I do not always have to beokay, okay.",anger,negative
407,"I'm telling you, something's wrong! My brother does not stay out all night.",fear,negative
408,Oh my God!  Where the hell have you been?!!,anger,negative
409,"Ohh, out, oh God, I don't know why we didn't think to check there!",anger,negative
410,"Look, I don't have to answer your questions! Okay? I'm a big boy, I can do whatever I want!",anger,negative
411,Hey! Hey! Be careful around my Porsche!,anger,negative
412,"Well, the old lady died.",sadness,negative
413,Ewww. Yeah. Umm. I think I'm gonna stay here.,disgust,negative
414,Ezels!!,disgust,negative
415,You freak.,disgust,negative
416,Damn! I can't believe I took her off my list.,anger,negative
417,"Oh-oh, you lie.",disgust,negative
418,"Yeah, well missy, you better be glad that list is laminated.",anger,negative
419,"Rachel, we're sorry for pushing those guys on you.",sadness,negative
420,No! He blew us off!,anger,negative
421,I can't believe it.  Can I tell you something? I'm a little mad at him now.,anger,negative
422,Can I tell you something? Me too.,anger,negative
423,"Y'know what? He didn't want to talk to us about being angry, well maybe we don't talk to him",anger,negative
424,"Look, I  Look, I'm having a great time with you and I just don't want us to move to fast or put to much pressure on us.",fear,negative
425,"So, I'm sorry I just don't think we should go away together yet.",sadness,negative
426,It's-it's too soon.,fear,negative
427,"Phoebe, would you take a look at this mess!!!!",anger,negative
428,"I take the uh dead flowers out of the vase... Oh, and, um, sometimes Artelle lets me put the little chocolate blobbies on the cookies.",sadness,negative
429,"No-no-no. I don't have a son named Jordie. We all agreed, my son's name is Jamie.",anger,negative
430,"Ow, ow, ow, ow, leg cramp, leg cramp, leg cramp.",anger,negative
431,"I got it! Hey, you get to sleep with her, I get the cramps.",anger,negative
432,"All right, that's it. I want both of you out.",anger,negative
433,He started it!,anger,negative
434,"No, you started it.",anger,negative
435,"I don't care. I am trying to get a person out of my body here, and you're not making it any easier.",anger,negative
436,Now go!,anger,negative
437,Thanks a lot.,anger,negative
438,See what you did.,anger,negative
439,Out,anger,negative
440,"Yeah but, Mischa is so interested in you, that Sergei and I haven't been able to say two words to each other.",anger,negative
441,What do you want me to do? Just sit here silently while you three have a conversation?,anger,negative
442,so we finally get to the top of the mountain and airhead here  forgets the camera!,disgust,negative
443,"Oh yeah. First off all, chasing the Churo guy isn't jogging.",disgust,negative
444,"Oh, damn! I got it on my pants.",anger,negative
445,"Yeah, wow, sorry Rach.",sadness,negative
446,I found the picture!,anger,negative
447,The picture of my wife! In your pack!,anger,negative
448,You went through my personal property?,anger,negative
449,Why do have a picture of Paulette in your pack?!,anger,negative
450,"Because Vincent, we were lovers.  For two years!",anger,negative
451,You don't know how that happened?! Your dog thought my diaphragm was a chew toy!,disgust,negative
452,"Well, at least you're not hearing it for the first time at your fifth grade Halloween party.",disgust,negative
453,"You tell her Jack, I can't do it.",fear,negative
454,"No. It was painful. Oh my God , they should call it Pain-zine, now with a little wax.",disgust,negative
455,That's because their nerves are probably deadened from being so stupid.,anger,negative
456,No!,sadness,negative
457,"David the scientist guy, David that I was in love with, David who went to Russia and broke my heart David!",sadness,negative
458,"Hey, uh, I'm really, really sorry about what happened in the cafeteria today.",sadness,negative
459,I eat by myself in the alley because everybody hates me.,sadness,negative
460,"Y'know you wear a white coat, I wear a blue blazer, if that means we can't be friends at work, then so be it.",sadness,negative
461,That's it. That's my worse Thanksgiving.,sadness,negative
462,"Umm, I-I really don't want to tell this story.",sadness,negative
463,"Y'know, for me anyway.",sadness,negative
464,"And of course, the Indians.",sadness,negative
465,"Look umm, of all people, you do not want me to tell this story!",anger,negative
466,"I-I wanted to apologise if Iy'know seemed a tad edgy yesterday at my shower. Y'know it's just the hormones, y'know.",sadness,negative
467,They-they-they can smell fear.,fear,negative
468,"I didn't know you and Carol were getting divorced, I'm sorry.",sadness,negative
469,I-I cannot spend another evening with that man.,disgust,negative
470,Do you remember how he behaved at our wedding?,disgust,negative
471,That's because he wasn't invited because of the way he behaved at our engagement party.,disgust,negative
472,"Oh yeah. Boy, urine cuts",disgust,negative
473,"Oh that was yours? Uh, yeah, we used it when the duck was throwing up caterpillars.",sadness,negative
474,Ugh.  Ross!,disgust,negative
475,"So they ah, they all took off, it was pretty hard watching them go, y'know?",sadness,negative
476,"I'm gonna go talk to uh, a friend.",sadness,negative
477,"Yeah, yeah, you go talk to your friend. You tell him, ""Nice try.""",disgust,negative
478,"No, I can't talk to you! I don't have a fancy ad in the Yellow Pages!",anger,negative
479,"Look, Pheebs, I just, I wanna apologize for, for saying that your method was stupid and-and maybe ask you to be my teacher again.",sadness,negative
480,No!,anger,negative
481,I don't have ten minutes!!,anger,negative
482,"Hey, Ross!!! I told you I don't!",anger,negative
483,"Don't yell at me okay, this is the most I've seen you all week.",sadness,negative
484,"Ok, hypothetically, why won't I be married when I'm 40?",anger,negative
485,What is it? Is there something fundamentally unmarriable about me?,anger,negative
486,Stop making candy!,anger,negative
487,"Oh, you really want to talk about getting people to like you huh, funny man?",anger,negative
488,"We were on the platform, ready to dance the world into the new Millennium, and the guy yelled CUT!'",anger,negative
489,I can't do it!,sadness,negative
490,"All right, look, you're not really gonna buy that are you? Don't you think you've embarrassed me enough for one day?",anger,negative
491,"All right, look, if you insist on wearing that, in public, y'know, you're gonna spend the rest of the afternoon all by yourself.",disgust,negative
492,Good choice.,anger,negative
493,"Okay, wait. All right, that's it, okay, I'm out of here. I am not going to be embarrassed anymore!",anger,negative
