,ID,CITY,COUN,SUBJ,SEX,AGE,RELI,PRAC,FOCC,MOCC,FIEL,EMOT,WHEN,LONG,INTS,ERGO,TROPHO,TEMPER,EXPRES,MOVE,EXP1,EXP2,EXP10,PARAL,CON,EXPC,PLEA,PLAN,FAIR,CAUS,COPING,MORL,SELF,RELA,VERBAL,NEUTRO,affect,Field3,Field2,MYKEY,text,STATE,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
18,11005,1,1,5,2,22,1,1,7,6,2,4,1,2,2,0,0,0,1,1,0,0,0,0,2,2,3,1,0,0,5,1,3,2,1,0,sadness,2,2,110054,When one's studies seem hopelessly difficult and uninteresting.  ,1,,,,,,,,,
19,11005,1,1,5,2,22,1,1,7,6,2,5,4,2,2,0,0,1,0,0,0,0,0,1,2,1,3,2,2,2,3,3,2,2,0,0,disgust,2,2,110055,"When one finds out that someone you know is not at all like one á had thought, for instance friends who steal and things like that, á quite unwarranted.",1,,,,,,,,,
20,11006,1,1,6,1,23,1,2,0,0,2,2,3,1,2,1,0,0,1,0,1,0,0,0,1,0,2,1,1,4,5,0,3,3,1,0,fear,1,2,110062,When I climbed up a tree to pick apples.  The angle of the ladder á I was on did not enable me to get high enough.  This implied á that the ladder was not very stable.,1,,,,,,,,,
21,11006,1,1,6,1,23,1,2,0,0,2,3,4,3,3,0,0,0,0,0,0,0,0,1,1,1,3,2,1,2,5,0,0,1,0,0,anger,3,3,110063,Friends who torture animals.,1,,,,,,,,,
22,11006,1,1,6,1,23,1,2,0,0,2,4,4,1,2,0,0,0,0,0,0,0,0,0,2,1,3,0,3,2,5,3,0,1,0,0,sadness,1,2,110064,[ Same as in anger.],1,,,,,,,,,
23,11006,1,1,6,1,23,1,2,0,0,2,5,4,2,4,0,0,0,0,0,0,0,0,0,1,1,3,2,1,2,1,3,0,1,0,0,disgust,2,4,110065,Friends who torture animals.,1,,,,,,,,,
24,11007,1,1,7,2,35,0,2,0,8,2,2,1,1,4,3,0,1,2,0,0,0,0,2,1,1,3,0,0,0,5,0,2,2,0,0,fear,1,4,110072,When my 2 year old son climbed up and sat on the 7th floor á balcony with his legs hanging out.  He was holding on tightly to á the upper railing of the balcony but he could have easily lost á his balance when he sat down.,1,,,,,,,,,
25,11007,1,1,7,2,35,0,2,0,8,2,3,2,4,4,3,0,2,0,0,0,0,1,1,1,1,3,3,3,3,5,3,3,0,3,0,anger,4,4,110073,When my partner was attacked and lost three teeth.,1,,,,,,,,,
26,11007,1,1,7,2,35,0,2,0,8,2,4,1,1,2,0,1,0,0,0,0,0,0,0,2,2,3,0,0,0,1,0,2,2,0,1,sadness,1,2,110074,When I see children on T.V from areas devastated by drought and á war.,1,,,,,,,,,
27,11007,1,1,7,2,35,0,2,0,8,2,5,2,1,3,3,0,1,1,0,0,0,0,1,1,1,3,0,0,4,4,1,2,2,1,0,disgust,1,3,110075,When I nearly walked on a blindworm and then saw it crawl away.,1,,,,,,,,,
28,11008,1,1,8,2,34,1,2,7,7,2,2,4,1,4,3,0,0,1,0,0,0,0,0,1,1,3,3,1,0,1,2,2,2,2,0,fear,1,4,110082,"It was winter/spring and the ice was melting.  I was far out on a á jetty and I poked the ice with a long branch to try and break it. á  The branch went through the ice and I fell in, the water closed á in over my head.",1,,,,,,,,,
29,11008,1,1,8,2,34,1,2,7,7,2,3,2,3,2,3,0,2,2,0,0,0,1,1,1,1,2,2,2,2,2,2,1,1,3,0,anger,3,2,110083,"Unjust accusations directed at me and my way of acting, by á someone close to me.  ",1,,,,,,,,,
30,11008,1,1,8,2,34,1,2,7,7,2,4,3,4,2,0,1,0,1,0,0,0,0,0,2,2,3,3,2,4,4,2,1,2,0,1,sadness,4,2,110084,Failing an examination.,1,,,,,,,,,
31,11008,1,1,8,2,34,1,2,7,7,2,5,3,1,2,2,1,2,0,1,0,0,0,0,3,1,3,3,0,0,3,3,1,0,0,1,disgust,1,2,110085,"A drunkard fell, started bleeding and wet himself.  Disgust that á turned into sadness-unpleasantness.",1,,,,,,,,,
32,11009,1,1,9,2,24,1,1,7,7,2,2,4,3,3,2,0,0,0,0,0,0,0,0,3,1,3,0,3,1,3,1,0,2,0,0,fear,3,3,110092,"When, as a child, I was nearly knocked down by a car.",1,,,,,,,,,
33,11009,1,1,9,2,24,1,1,7,7,2,3,3,3,4,0,1,0,0,0,0,0,0,0,1,2,3,2,1,3,1,3,2,0,3,1,anger,3,4,110093,"When I heard on the radio that the football match in Belgium had á ended in a catastrophe, and several people had died.  I could not á  understand how normal people could behave in such a way.",1,,,,,,,,,
34,11009,1,1,9,2,24,1,1,7,7,2,4,2,3,3,0,0,0,1,0,0,1,0,0,1,2,3,2,1,1,1,1,1,0,0,1,sadness,3,3,110094,"When I feel lonely, perhaps because I have to study a lot and I á am shut up in my appartment.  Nothing happens in particular á because there is no time for anything else.",1,,,,,,,,,
35,11009,1,1,9,2,24,1,1,7,7,2,5,1,1,2,0,0,0,1,0,0,0,0,0,1,0,3,2,1,3,1,3,0,0,1,0,disgust,1,2,110095,When one learns through the mass media all the wars and killing á going on in the world.,1,,,,,,,,,
36,11010,1,1,10,1,24,0,2,6,6,2,2,4,3,3,2,0,2,1,0,0,0,0,0,2,2,3,0,0,4,5,1,2,2,1,0,fear,3,3,110102,"A bus drove over my right leg.  The event itself was not very á frightening but when I had to wait in the emergency ward for á three hours and then my leg began to swell, I was frightened.",1,,,,,,,,,
37,11010,1,1,10,1,24,0,2,6,6,2,3,3,4,3,2,0,0,1,1,0,0,0,0,2,2,3,3,1,3,5,1,1,1,1,0,anger,4,3,110103,"At my Summer job, nobody looked after me in particular and I had á to learn all on my own.",1,,,,,,,,,
38,11010,1,1,10,1,24,0,2,6,6,2,4,3,4,3,0,1,0,0,0,0,0,0,0,2,2,3,3,2,1,5,0,1,1,2,1,sadness,4,3,110104,When I was not accepted as a student in finance and accounting.,1,,,,,,,,,
39,11010,1,1,10,1,24,0,2,6,6,2,5,3,1,3,1,0,0,0,0,0,0,0,0,1,2,3,1,0,3,5,0,2,2,1,0,disgust,1,3,110105,When I had just moved into my new appartment I found a ventilator á in the kitchen.  I was going to clean it when I found that the á drum was full of mud and slime.  I felt disgusted.,1,,,,,,,,,
40,11011,1,1,11,1,25,1,2,7,6,2,2,4,1,2,3,1,0,0,0,0,0,0,0,3,2,2,0,3,4,3,1,2,2,0,1,fear,1,2,110112,"In a cottage in a large forest, I was alone for a while in the á dark.",1,,,,,,,,,
41,11011,1,1,11,1,25,1,2,7,6,2,3,3,3,2,3,0,0,1,0,0,0,0,1,1,2,0,0,1,3,4,2,3,0,2,0,anger,3,2,110113,When I spoke to Jan-Erik Wikstr÷m on the telephone. ,1,,,,,,,,,
42,11011,1,1,11,1,25,1,2,7,6,2,4,2,4,2,0,2,0,0,0,0,0,0,0,3,2,1,0,1,2,4,2,0,0,0,2,sadness,4,2,110114,Railway station good-bye.,1,,,,,,,,,
43,11011,1,1,11,1,25,1,2,7,6,2,5,4,1,3,1,1,0,0,0,0,0,0,0,2,1,3,0,0,4,3,0,2,2,2,1,disgust,1,3,110115,I saw a cripple in rags with small children in Italy.  He was á probably an imposter.,1,,,,,,,,,
44,11012,1,1,12,1,23,1,2,7,6,2,2,3,2,4,1,0,1,1,0,0,0,0,0,1,2,3,0,1,4,5,1,3,3,1,0,fear,2,4,110122,"On the way back from Denmark with a friend on a small yatch, á there was a storm and my friend was blown overboard;  I was very á scared till I managed to get him back onboard.",1,,,,,,,,,
45,11012,1,1,12,1,23,1,2,7,6,2,3,1,2,3,2,0,0,1,0,0,0,0,0,1,1,2,0,0,1,4,1,2,2,2,0,anger,2,3,110123,I locked myself out.,1,,,,,,,,,
46,11012,1,1,12,1,23,1,2,7,6,2,4,1,3,3,0,0,0,1,0,0,0,0,0,1,1,2,3,1,1,1,1,2,0,0,0,sadness,3,3,110124,I missed the last tram home and had to walk in the pouring rain.,1,,,,,,,,,
47,11012,1,1,12,1,23,1,2,7,6,2,5,3,4,4,1,0,1,1,0,0,0,1,0,1,1,3,0,0,2,1,3,2,1,3,0,disgust,4,4,110125,I found some worms in the food and I had obviously eaten some.,1,,,,,,,,,
48,11013,1,1,13,2,22,1,2,7,4,2,2,3,1,3,1,1,0,0,1,0,0,0,0,1,2,3,0,0,3,2,0,0,1,0,1,fear,1,3,110132,When I am out in the dark and a suspicious looking character á comes towards me.,1,,,,,,,,,
49,11013,1,1,13,2,22,1,2,7,4,2,3,1,1,3,1,0,0,3,0,0,0,0,0,1,1,3,0,3,3,4,3,2,1,1,0,anger,1,3,110133,"At work, when an elderly man complained unjustifiably about me and á distrusted me.",1,,,,,,,,,
50,11013,1,1,13,2,22,1,2,7,4,2,4,1,2,3,0,0,0,1,0,0,1,0,1,1,2,3,2,2,0,5,1,2,2,3,1,sadness,2,3,110134,When I had not understood anything after a lecture.,1,,,,,,,,,
51,11013,1,1,13,2,22,1,2,7,4,2,5,2,1,2,0,1,0,1,1,0,0,0,2,0,0,0,3,3,2,4,0,0,0,0,1,disgust,1,2,110135,When an alcoholic stood dribbling over a food counter.,1,,,,,,,,,
52,11014,1,1,14,1,23,0,0,7,4,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,2,3,0,3,1,5,0,2,0,0,0,fear,1,2,110142,On the way home one Friday night in the heavy rain the car á acquaplanned.  I lost contact with the road surface for a few á seconds.,1,,,,,,,,,
53,11014,1,1,14,1,23,0,0,7,4,2,3,1,1,2,1,0,0,1,0,0,0,0,1,2,2,3,3,2,2,2,2,2,1,0,0,anger,1,2,110143,Mad at my dad.,1,,,,,,,,,
54,11014,1,1,14,1,23,0,0,7,4,2,4,3,3,3,0,0,0,1,0,0,1,0,0,3,2,3,3,3,0,1,1,1,1,0,1,sadness,3,3,110144,A case of unrequited love.,1,,,,,,,,,
55,11014,1,1,14,1,23,0,0,7,4,2,5,2,1,3,0,1,0,0,1,0,0,0,0,3,1,3,2,3,3,2,1,2,1,0,1,disgust,1,3,110145,A bad smelling cucumber.,1,,,,,,,,,
56,11015,1,1,15,1,26,0,2,7,6,2,2,2,2,3,1,1,0,0,1,0,0,0,0,2,1,3,2,3,4,4,1,2,2,2,1,fear,2,3,110152,When I flew from Athens to Copenhagen after a holiday.  The plane á was caught in a storm and it began to shake and I thouhght that á we were going to crash.,1,,,,,,,,,
57,11015,1,1,15,1,26,0,2,7,6,2,3,3,3,3,0,0,2,0,0,0,0,0,0,0,0,1,1,1,2,2,0,3,2,1,0,anger,3,3,110153,When someone stole my bike.,1,,,,,,,,,
58,11015,1,1,15,1,26,0,2,7,6,2,4,1,1,0,1,0,0,1,0,0,1,0,0,1,1,2,2,0,0,4,2,2,0,0,1,sadness,1,0,110154,"When I saw the list of books to read for an acccouting course, I á thought \ Oh God how will I ever manaage it!\""""",1,,,,,,,,,
59,11015,1,1,15,1,26,0,2,7,6,2,5,1,1,2,0,2,0,1,0,1,0,0,0,1,1,2,2,1,3,4,1,2,2,1,2,disgust,1,2,110155,It was when I read a newspaper article on the future and they á foresaw that we would be eating frog-burgers by the year 2000.  á An illustration showed a frog between two pieces of bread.,1,,,,,,,,,
60,11016,1,1,16,2,33,1,2,4,4,2,2,4,2,4,4,1,1,1,1,0,0,0,0,1,1,3,3,3,1,1,1,1,3,1,1,fear,2,4,110162,"When I could not find my 2 year old daughter.  I ran and looked á for her everywhere and could not find her.  (I finally found her, á she had gone to bed to sleep)",1,,,,,,,,,
61,11016,1,1,16,2,33,1,2,4,4,2,3,4,4,4,1,0,0,1,0,0,0,0,0,3,1,3,3,3,2,3,3,1,1,0,0,anger,4,4,110163,When friends try to put me down or hurt me.  ,1,,,,,,,,,
62,11016,1,1,16,2,33,1,2,4,4,2,4,4,4,4,2,2,0,2,1,0,1,0,0,3,3,3,3,1,0,1,0,1,1,0,3,sadness,4,4,110164,Marriage crises.  Boredom.,1,,,,,,,,,
63,11016,1,1,16,2,33,1,2,4,4,2,5,4,2,4,1,1,1,0,1,0,0,0,0,1,2,3,3,2,2,3,2,1,1,0,1,disgust,2,4,110165,When someone makes advances that one does not want.,1,,,,,,,,,
64,11017,1,1,17,2,23,1,0,9,5,2,2,4,3,3,1,0,0,0,0,0,0,0,0,3,2,3,3,1,1,1,2,1,1,0,0,fear,3,3,110172,When I drove to Stockholm for the first time and drove off the á Stora Hissingen road at the wrong exit.,1,,,,,,,,,
65,11017,1,1,17,2,23,1,0,9,5,2,3,2,4,3,1,0,0,1,0,0,1,0,0,2,2,3,3,3,2,1,1,1,1,0,1,anger,4,3,110173,When my boyfriend went away for a month long holiday without me.,1,,,,,,,,,
66,11017,1,1,17,2,23,1,0,9,5,2,4,2,4,4,0,1,0,0,0,0,0,0,0,2,2,3,3,1,1,3,1,1,1,0,1,sadness,4,4,110174,Last year when I worked during the Summer holidays and studied á at the same time for an examination I had to repeat; my boyfriend á went to Greece for a holiday for a month.,1,,,,,,,,,
67,11017,1,1,17,2,23,1,0,9,5,2,5,2,1,2,0,1,0,0,0,0,0,0,0,1,1,3,2,1,3,1,0,2,1,3,1,disgust,1,2,110175,When a dog is left whining outside a shop.,1,,,,,,,,,
68,11019,1,1,19,1,30,1,2,5,1,2,2,1,1,3,3,0,0,0,0,0,0,0,1,2,1,3,0,3,0,5,3,0,1,2,0,fear,1,3,110192,"While taking a short cut through the Vasa park, I was surrounded á by three people who tried to steal my money.  I was scared and á was saved only by the appearance of other people.",1,,,,,,,,,
69,11019,1,1,19,1,30,1,2,5,1,2,3,2,2,4,2,0,0,0,0,0,0,0,1,2,1,3,0,1,3,5,3,0,1,0,0,anger,2,4,110193,"At a restaurant I observed how the gypsies tried to get money by á cheating the foreigners i.e non Swedish speaking.  My anger had á nothing to do with hatred against foreigners, but it was an á expression of the anger I feel when I see people being used .",1,,,,,,,,,
70,11019,1,1,19,1,30,1,2,5,1,2,4,1,4,2,1,1,0,0,1,0,0,0,0,1,2,3,1,0,0,5,0,3,0,0,1,sadness,4,2,110194,At the begining of a new course one is afraid of encountering á problems one can not manage.  Thoughts revolve around failing á the subject and the consequences it would have for the future.,1,,,,,,,,,
71,11019,1,1,19,1,30,1,2,5,1,2,5,1,2,4,3,0,0,0,0,0,0,0,0,1,0,3,0,0,3,1,3,1,1,3,0,disgust,2,4,110195,While walking in town I noticed how the police harrassed a man á who was under the influence of alcohol.  They terrified him with á the thought of arrest by driving close behind him on a pedestrian á street.  My disgust was directed at the gestures and the facial á expressions of the policemen; they seemed to be enjoying á themselves.,1,,,,,,,,,
72,11020,1,1,20,1,24,8,2,4,4,2,2,3,2,3,0,1,0,0,0,0,0,0,0,2,2,3,2,3,0,4,0,2,3,0,1,fear,2,3,110202,When my father was ill and was waiting for the results of his tests.,1,,,,,,,,,
73,11020,1,1,20,1,24,8,2,4,4,2,3,1,3,3,0,0,0,0,0,0,0,0,0,1,1,3,3,0,4,1,0,2,2,0,0,anger,3,3,110203,When I got caught in the pouring rain last Thursday and did not á have a raincoat on me.,1,,,,,,,,,
74,11020,1,1,20,1,24,8,2,4,4,2,4,4,3,2,0,0,0,1,0,0,0,0,0,2,1,3,3,1,1,5,0,1,0,0,0,sadness,3,2,110204,When I failed an exam.,1,,,,,,,,,
75,11020,1,1,20,1,24,8,2,4,4,2,5,3,1,1,0,0,0,1,0,1,0,0,0,1,1,3,2,2,3,4,3,2,1,3,0,disgust,1,1,110205,"At a Sm÷rgasbord table, a man mixed differnet kinds of picked á herrings with fruit salad.",1,,,,,,,,,
76,11021,1,1,21,2,30,1,2,4,1,2,2,3,4,4,2,1,1,1,0,0,1,0,0,2,2,3,0,1,0,1,0,0,2,0,2,fear,4,4,110212,When I found out that my father had lung cancer and they did not á know how long he would live.,1,,,,,,,,,
77,11021,1,1,21,2,30,1,2,4,1,2,3,3,3,3,0,0,0,0,0,0,0,0,0,3,2,2,2,0,2,4,2,2,1,1,0,anger,3,3,110213,"When a colleague asked me for help at work, despite the fact á that he had more time to do it than I had.",1,,,,,,,,,
78,11021,1,1,21,2,30,1,2,4,1,2,4,1,4,3,0,0,0,0,0,0,0,0,0,3,3,2,3,0,2,1,0,1,1,1,0,sadness,4,3,110214,When I did not get the salary increase that I had been expecting á and understood how little one's work was appreciated.,1,,,,,,,,,
79,11021,1,1,21,2,30,1,2,4,1,2,5,2,1,3,2,0,1,1,0,0,0,0,0,1,1,3,0,1,0,1,1,0,0,1,0,disgust,1,3,110215,When I was weeding the garden I found a lizard in my hand.,1,,,,,,,,,
80,11022,1,1,22,1,24,1,2,8,4,2,2,3,3,4,4,1,2,2,0,0,0,0,2,3,1,3,0,1,1,2,2,1,0,0,1,fear,3,4,110222,"When I was stopped by plain clothes policemen because the car I á was driving had overturned on the Avenue.  I had been driving too á fast, and I was afraid when I was stopped, questionned and then á toild to go.  The situation ended happily since there were no á consequences.",1,,,,,,,,,
81,11022,1,1,22,1,24,1,2,8,4,2,3,2,2,2,2,0,0,0,0,0,0,0,0,1,2,3,2,2,3,1,0,2,1,3,0,anger,2,2,110223,The editor changed the heading of an article that I had written.  á He considered the heading to be derogatory towards the person I had written á about.,1,,,,,,,,,
82,11022,1,1,22,1,24,1,2,8,4,2,4,4,4,4,3,1,0,2,1,0,1,0,0,2,2,3,0,0,4,1,0,0,2,2,2,sadness,4,4,110224,"A close acquaintance of the family died of lung cancer.  á Although it was expected, I still felt depressed.",1,,,,,,,,,
83,11022,1,1,22,1,24,1,2,8,4,2,5,4,3,3,0,1,1,0,0,0,0,0,0,1,0,3,0,0,3,4,0,1,0,3,1,disgust,3,3,110225,"When I saw a picture, in the Gothenburg Post, of a totally á demolished car with two fatally injured passengers.  The car was á so badly damaged that they couldn't get the bodies out at the á scene of the accident.",1,,,,,,,,,
84,11023,1,1,23,1,25,8,2,7,5,2,2,4,2,4,2,0,0,0,1,0,0,0,0,3,2,3,0,1,3,2,0,2,1,0,0,fear,2,4,110232,I met intoxicated people with dubious intentions in a back alley á one Wednesday night.,1,,,,,,,,,
85,11023,1,1,23,1,25,8,2,7,5,2,3,2,2,3,1,1,0,1,1,0,0,0,0,2,0,3,0,1,3,1,0,2,2,0,1,anger,2,3,110233,On the T.V I saw a news feature on South Africa.  A policeman      á attacked a group of black people with a whip.,1,,,,,,,,,
86,11023,1,1,23,1,25,8,2,7,5,2,4,1,1,2,0,0,0,0,0,0,0,0,0,0,2,3,3,1,3,5,0,2,2,1,0,sadness,1,2,110234,The thought of having to read a boring book of 400 pages in á English.,1,,,,,,,,,
87,11023,1,1,23,1,25,8,2,7,5,2,5,3,1,2,0,0,0,0,0,0,0,0,0,2,0,3,0,1,2,4,3,0,1,0,0,disgust,1,2,110235,Grovelling people.,1,,,,,,,,,
88,21009,1,2,9,2,21,1,2,8,1,9,5,3,1,3,0,0,0,1,0,0,0,0,0,1,1,3,0,0,0,3,3,3,0,0,0,disgust,1,3,210095,"Observing someone in the cafeteria noisily gulping in his food, á having extremely bad manners.",1,,,,,,,,,
89,21010,1,2,10,2,19,1,2,4,1,9,2,4,4,3,0,1,0,1,0,0,1,0,0,1,1,3,3,2,4,5,0,0,3,0,2,fear,4,3,210102,"When my sister had the still born child, she was emotionally very á deep down, and it took her a long time to recover.",1,,,,,,,,,
90,21010,1,2,10,2,19,1,2,4,1,9,3,1,3,2,1,0,2,2,0,0,0,0,0,1,1,3,3,2,3,5,1,2,2,2,0,anger,3,2,210103,"We were starting a student project, and the teacher we talked to á was very negative and not very helpful.",1,,,,,,,,,
91,21010,1,2,10,2,19,1,2,4,1,9,4,3,4,3,0,2,0,2,1,0,1,0,0,2,2,3,3,3,2,1,2,1,1,0,3,sadness,4,3,210104,"When my boyfriend openly let me down, preferring another girl.",1,,,,,,,,,
92,21010,1,2,10,2,19,1,2,4,1,9,5,3,4,2,0,0,0,1,1,0,0,0,0,2,2,3,3,0,2,1,2,1,1,0,0,disgust,4,2,210105,"I felt some disgust for my boyfriend for a time, after he had á left me.",1,,,,,,,,,
93,21011,1,2,11,1,30,8,2,8,4,9,2,4,1,2,1,0,0,1,0,0,0,0,1,2,1,3,3,1,1,2,0,3,2,1,0,fear,1,2,210112,"I wandered by mistake into the safety zone of a shooting range, á and was shot at.",1,,,,,,,,,
94,21011,1,2,11,1,30,8,2,8,4,9,3,2,1,4,2,0,0,1,0,0,0,0,0,1,1,3,3,3,3,5,3,3,2,1,0,anger,1,4,210113,Being treated unfairly.,1,,,,,,,,,
95,21011,1,2,11,1,30,8,2,8,4,9,4,3,4,3,3,1,0,0,1,0,0,0,0,2,2,2,2,1,2,3,2,3,1,3,1,sadness,4,3,210114,Breaking up with a girl.,1,,,,,,,,,
96,21011,1,2,11,1,30,8,2,8,4,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,disgust,0,0,210115,Nothing.,1,,,,,,,,,
97,21012,1,2,12,2,23,1,1,4,5,9,2,4,4,4,4,0,1,1,1,0,0,0,1,3,1,3,0,3,0,1,0,0,0,1,0,fear,4,4,210122,"When I was the first to arrive at the scene after an accident, á and found that a close school friend had been killed.",1,,,,,,,,,
98,21012,1,2,12,2,23,1,1,4,5,9,3,4,3,3,3,1,2,5,1,0,1,0,1,1,1,3,2,3,2,1,2,1,1,2,2,anger,3,3,210123,"I was accused of having done something, which I hadn't and got á very angry.",1,,,,,,,,,
99,21012,1,2,12,2,23,1,1,4,5,9,4,3,4,3,2,1,1,1,1,0,1,0,0,1,2,3,0,0,0,4,0,2,2,0,2,sadness,4,3,210124,When my grandmother died.,1,,,,,,,,,
100,21012,1,2,12,2,23,1,1,4,5,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,disgust,0,0,210125,Not applicable.,1,,,,,,,,,
101,41019,1,4,19,2,33,8,2,6,1,9,2,4,1,4,4,0,0,0,0,0,0,0,0,1,2,3,0,0,1,4,1,2,0,0,0,fear,1,4,410192,"I was alone at home, in bed reading a womens' magazine in which á there were storiees of paranormal experiences.  My leg was á itching and I stretched my hand to scratch and I felt another á strange hand. (later I realized that it was the corner of the á blanket)",1,,,,,,,,,
102,41019,1,4,19,2,33,8,2,6,1,9,3,1,2,2,2,0,0,2,0,0,0,0,2,2,2,3,3,3,3,1,1,2,2,3,0,anger,2,2,410193,"I went to a lecture and once again it had been cancelled, this á was the second time.  One had a negative attitude towards the á lecturer.á ",1,,,,,,,,,
