text,affect,sentiment
"Oh wow! So, you're more than just dinosaurs.",surprise,positive
So much more.,neutral,neutral
"Well, well to sum up, we're having fun, you look young.",neutral,neutral
Okay,neutral,neutral
But that's not enough. So Sohere's a key to my apartment.,neutral,neutral
Really?!,surprise,positive
Really.,neutral,neutral
You don't think this is too fast.,neutral,neutral
Get Out!,anger,negative
"Ross, can I talk to you for a minute?",neutral,neutral
"Yes, please!  So, what's going on?",neutral,neutral
"Uh, well... Joey and I broke up.",sadness,negative
"Oh my God, wh-what happened?",surprise,negative
"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",sadness,negative
I knew that was him!,anger,negative
"Anyway I just, uh, I think it's for the best.",sadness,negative
"Hey, you ok?",neutral,neutral
I guess.,sadness,negative
There was hum...  there was another reason that I thought it was time to end it with Joey.,neutral,neutral
I started to realize that I was having feelings for someone  else.,neutral,neutral
"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",neutral,neutral
"Oh, professor Clerk we're kind of in the middle of a conversation, here.",neutral,neutral
"Yeah, can you guys just throw him in the pool later?",neutral,neutral
Or we could throw you both in,joy,positive
"Ok, gentlemen!",anger,negative
Please!,anger,negative
Aren't we a little old for this?,anger,negative
"I mean, we're scientists, right?",neutral,neutral
We're academics.,anger,negative
And most importantly I... you-you will have to catch us first.,joy,positive
"GO, GO, GO!",joy,positive
"Go, go, go!",joy,positive
"Oh yeah, now everybody wants to be under this hat!",joy,positive
Oy!!,disgust,negative
What's with all this sand?,surprise,negative
"Oh, yeah, Bob said there might be flood damage.",neutral,neutral
"Yeah, either that, or he has a really big cat.",neutral,neutral
"Okay, see that blind guy right there? I'm gonna bash his head in later.",anger,negative
"Oh umm, my big scene is coming up. Big scene coming up.",joy,positive
"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",neutral,neutral
Rach? What are you doing?,neutral,neutral
"Oh boy, I just can't watch. It's too scary!",fear,negative
It's a diaper commercial.,neutral,neutral
"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",fear,negative
Pizza delivery!,joy,positive
I'll get it! I will get that!,joy,positive
Hi!,joy,positive
Hi!,joy,positive
"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",neutral,neutral
"Uhh, the ball thing.",neutral,neutral
Yeah?,neutral,neutral
"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",joy,positive
"Uhh,",neutral,neutral
Okay!,joy,positive
Uh-oh.,fear,negative
What?,neutral,neutral
I have to pee. And Rachel's in the bathroom!,sadness,negative
"Man, I didn't think we were gonna make it!",surprise,positive
"I know!  Don't switch hands, okay?",fear,negative
Hey.,neutral,neutral
Hey!,neutral,neutral
How did it go with Erin?,neutral,neutral
"Oh, unbelievable! We had the best time!",joy,positive
"Yay!! Oh so, you're not, you're not mad at us anymore?",joy,positive
No!,joy,positive
No!,joy,positive
No!,joy,positive
You guys were totally right!,joy,positive
This is so much better than the first time we went out.,joy,positive
Y'know?,neutral,neutral
"That was so awkward, we were really nervous.",neutral,neutral
Didn't you sleep together?,neutral,neutral
"Yeah, that really calms me down.",neutral,neutral
And!,joy,positive
We have so much in common!,joy,positive
"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that's a",joy,positive
"Oh my God! Listen to you talkin' about having kids. Oh my Joey.  Oh, please don't get married before I do.",surprise,positive
Okay.,neutral,neutral
How does she do that?,surprise,negative
I cannot sleep in a public place.,neutral,neutral
Would you look at her? She is so peaceful.,joy,positive
Oh! What what what! ...Hi.,surprise,positive
"It's okay, y'know, you just nodded off again.",neutral,neutral
What's going on with you?,surprise,positive
I got no sleep last night!,anger,negative
Why?,neutral,neutral
"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",disgust,negative
"Oh, and deaf.",neutral,neutral
"So they're constantly, like, having to reassure each other that they're having a good time.",neutral,neutral
You have no idea how loud they are!,disgust,negative
"Well, if you want, you can stay with Rachel and me tonight.",neutral,neutral
Thanks.,joy,positive
Ew! What is that? Something exploded!,disgust,negative
"It's just her water breaking. Calm down, will you?",neutral,neutral
"Water breaking, what do you mean? What's that, water breaking?",surprise,negative
"Breathe, breathe, breathe.",neutral,neutral
"Are you insane? I mean Joey, is going to kill you, he's actually going to kill you dead.",surprise,negative
Okay! You don't think I thought of that?,anger,negative
How can you not know which one?,surprise,negative
I mean that's unbelievable.,joy,positive
"I mean, was it Gina?",neutral,neutral
Which one is Gina?,neutral,neutral
"Dark, big hair, with the airplane earrings.",neutral,neutral
"No, no, no, that's Dina.",neutral,neutral
"You see you can't tell which one is which either, dwha!!",surprise,negative
"I don't know, you thought See you Saturday' was funny.",neutral,neutral
"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",neutral,neutral
You guys would never want to go to a lecture with me.,neutral,neutral
Pa-haa!! I would love to go with you.,joy,positive
Really!?,surprise,positive
"Yeah, hey I-I have clothes, I even pick them out.",neutral,neutral
"I mean for, for all you know I could be a fashion..... monger.",neutral,neutral
"Okay. Honey, I would love for you to go with me.  What?",joy,positive
"What should I wear, now I'm all nervous.",fear,negative
": I know, we did it!! Hey, that was incredible, huh?!",joy,positive
"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",joy,positive
": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",joy,positive
"Oh well, okay, good luck.",joy,positive
: Yeah.,neutral,neutral
Unless you wanna practice the Foxtrot again? Or-or the Tango?,neutral,neutral
": Ahh, thanks but no. You see I-I think I'm ready to dance with girls.",neutral,neutral
Okay.,neutral,neutral
: Yeah.,neutral,neutral
Go get em Treeger.,neutral,neutral
": Right.  Hey, ahh, you wanna come? Marge has a girlfriend.",neutral,neutral
Really?,surprise,positive
": Yeah, you could dance real good with her, she's the same size as me.",neutral,neutral
"No, I'm good.",neutral,neutral
"Oh God, this is so nerve wracking! How-how do you do this?",surprise,negative
"Well, unfortunately, I don't get many callbacks so",neutral,neutral
Is it a good sign that they asked us to hang around after the audition?,surprise,positive
Who knows?,neutral,neutral
"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",neutral,neutral
Yes!! I knew it!!  Bye-bye! So long! Later!,joy,positive
Oh this is great! I might actually get to play Ben's dad!,joy,positive
Yeah!,joy,positive
"Actually, that can't happen.",neutral,neutral
"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.",neutral,neutral
So it'll be either you two  or you two.,neutral,neutral
"Man, this is gonna be kinda weird.",sadness,negative
"Yeah, it is.",neutral,neutral
"No, we-we're gonna be like best friends, that's why it's gonna be weird.",neutral,neutral
"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",sadness,negative
"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.",joy,positive
Please!,anger,negative
Are you kidding?,anger,negative
"I-I hurt three huge men, I gave a guy a bloody noseI mean I-I'm not proud of it but, I really am.",anger,negative
"And it's all because of you, wonderful, amazing you.",joy,positive
I think you've got concussion.,fear,negative
"No, no, I'm serious. Thank you.",joy,positive
You're welcome.  I'm sorry. Did I hurt you?,fear,negative
"It's worth the pain.  Y'know what, you know what? It's not.",sadness,negative
Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.,surprise,positive
"I do! Want a hint? huh? ""I do""  ""I do"".",joy,positive
"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.",neutral,neutral
David is going to propose to Phoebe.,joy,positive
What?  Why?,surprise,negative
"Chandler, we have talked about this.",anger,negative
You are not supposed to give people advice!,anger,negative
Now couldn't you just have made some sort of inappropriate joke?,anger,negative
I,neutral,neutral
They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,anger,negative
"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",anger,negative
"Man, that's some",surprise,positive
"Oh, that's not what you want...",neutral,neutral
"This is my father, Paul Stevens. Dad, this is Ross Geller.",neutral,neutral
It-it's great to meet you Paul.,joy,positive
I usually prefer Elizabeth's boyfriends to address me as Mr. Stevens.,neutral,neutral
"Of course, of course, Mr. Stevens.",neutral,neutral
"So Ross, what your problem?",anger,negative
Eh-whExcuse me?,surprise,positive
Why can't you get a girlfriend your own age?,anger,negative
That's funny. Umm.  It's not funny.,fear,negative
I,neutral,neutral
Okay.,neutral,neutral
"I can, I can see that.",neutral,neutral
"Umm, but I think if you give me umm, one chance I can, I can change your mind.",fear,negative
Okay.,neutral,neutral
What?,neutral,neutral
Okay. I'll give you one chance to change my mind.  You got one minute.,anger,negative
Daddy!,surprise,negative
"Oh well, it's not on TV yet.",neutral,neutral
"Well, then it's not on the wall yet.",neutral,neutral
"Okay, fine, I will bring you a tape, huh?",neutral,neutral
"So umm, now do you have any of Matt Lauer's clothes here? Maybe? Just ones that haven't been cleaned yet?",neutral,neutral
Ooooohh!,surprise,negative
"Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.",neutral,neutral
Was it...?,surprise,negative
"Oh, boy scouts could have camped under there.",neutral,neutral
"""Ooo,"" what?",surprise,positive
Uma Thurman.,neutral,neutral
Oh!,surprise,positive
The actress!,surprise,positive
Thanks Rach.,neutral,neutral
So what are you gonna do?,surprise,negative
You have to tell her!,joy,positive
You have to tell her!,joy,positive
"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",anger,negative
Guys?,anger,negative
Guys?,anger,negative
"Oh, yeah, you have to tell her.",neutral,neutral
Feminist issue. That's where I went!,neutral,neutral
She is gonna hate me.,fear,negative
"Yeah, well...",neutral,neutral
Will you marry me?,fear,negative
It's the big night! We wanted to wish you good luck!,joy,positive
"Yeah, yeah you have the ring?",neutral,neutral
"Yeah, right here in my pocket.  Pheebs?",neutral,neutral
Oh! Oop!,surprise,positive
"Okay, now will you guys get out of here? I want this is to be a surprise and she's gonna know.",neutral,neutral
Yeah-yeah you guys. Get out of here!,neutral,neutral
Hi guys.,neutral,neutral
You are beautiful.,joy,positive
"Oh, thank you!   What's going on?",joy,positive
We're just reallyvery excited about this charity event that we have to go to.,neutral,neutral
"Okay umm, Ross?",neutral,neutral
"I'm-I'm really warm, so I'm going to be taking off my sweater.",neutral,neutral
"Now, I'm just letting you know that this is",neutral,neutral
Yep! That's hilarious!,joy,positive
I'm sorry. I'm done. I'm done.,neutral,neutral
"Y'know, last night was embarrassing for you too.",neutral,neutral
"No, not really. I mean you've seen me naked hundreds of times.",neutral,neutral
Uh-huh. But it was a first for the rest of my building.,neutral,neutral
"Okay. All right, that's true! But y'know I just don't embarrass that easily.",neutral,neutral
What?! You totally get embarrassed!,surprise,positive
"No, I don't! Ross, I think I'm just a more secure person than you are.",neutral,neutral
Is that so?,neutral,neutral
Yeah.,neutral,neutral
Hey lady! I don't care how much you want it! Okay?! I am,disgust,negative
I can't believe it!,surprise,positive
I did it!,joy,positive
I rode a bike!,joy,positive
I never thought I'd be able to do that!,joy,positive
Thank you Ross.,joy,positive
"Oh hey, don't thank me, thank yourself. You're the one who faced her fears and ultimately overcame them.",joy,positive
"Hey, both you guys should be up there with me.",neutral,neutral
"I mean, you two are-are my I mean, I'm lucky to have just one good",neutral,neutral
Thanks man.,neutral,neutral
I gotta go check something over here.,neutral,neutral
What a baby.,sadness,negative
Total wuss!,sadness,negative
"Okay, we have a lot of options here, a number of prototypes for you to try on.",neutral,neutral
Wow! This looks great!,joy,positive
"Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.",joy,positive
And-and-and-and-and the toothpicks?,disgust,negative
You kissed another woman!,anger,negative
Call it even?!,neutral,neutral
Okay!,joy,positive
"Well, I'm gonna go get these  in some water.",neutral,neutral
Wait you stole those from these people's wedding?,surprise,negative
"No-no, I took them from the hotel lobby.",neutral,neutral
"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.",anger,negative
Hey!,surprise,positive
My sweater!,surprise,positive
I've been looking for this for like a month!,surprise,positive
Oh my God!!,surprise,negative
Oh my God!,surprise,negative
Happy?! Is that what I'm supposed to be Vic? Happy?,anger,negative
"Well, why don't you tell me what you're supposed to be!",anger,negative
Huh?,surprise,negative
Because I sure as hell can't figure it out!,anger,negative
I talk to you and nothin'.,anger,negative
"You look at me, and it's nothin'.",anger,negative
Nothing.,anger,negative
"Tasty! I'm really starting to feel like you guys have a history, it's-it's nice.",joy,positive
I have a question about this scene.,neutral,neutral
Yes?,neutral,neutral
"Well, I don't understand why Adrienne's attracted to Victor.",disgust,negative
"Peel the onion. First of all, he's good looking.",neutral,neutral
Yeah.,neutral,neutral
I think my character's gonna need a little bit more of reason than that.,neutral,neutral
"Oh, hey, how about this one.",neutral,neutral
"Ah, it's says so in the script!",anger,negative
"Y'know ah, I-I don't know why my character likes you either, I mean it says in the script here that you're a bitch.",anger,negative
It doesn't say that in the script.,anger,negative
It does in mine!,anger,negative
I can't,anger,negative
Yeah! You gotta tell a girl before you tape her. Such a rookie mistake.,anger,negative
Y'know who has a great video camera?,neutral,neutral
Greg and Jenny?,neutral,neutral
Do you still wanna call em? I wanna call em.,neutral,neutral
Let's call em.,neutral,neutral
Yeah! Ask them if they brought their friends any souvenirs!,joy,positive
Hello?  Eighth street deli?,neutral,neutral
"Hey, hang up! You get food poisoning just talkin' to that place.",disgust,negative
"Uh sorry, wrong number.",fear,negative
Here you go.,neutral,neutral
Hello?   It's the deli again!,surprise,negative
All right! I'll have a sandwich!,joy,positive
I don't think this number's right!,sadness,negative
Oh come on!!,sadness,negative
"Gotta go. I miss you too, I love you, but it's getting real late now",sadness,negative
"Hey Ma. Listen, I made the appointment with Dr. Bazida, and... Excuse me?  Did you know this isn't Ma?",surprise,negative
Her name's Ronni. She's a pet mortician.,neutral,neutral
Sure. So how long you been...,neutral,neutral
"Remember when you were a little kid, I used to take you to the navy yard and show you the big ships?",neutral,neutral
Since then?!,surprise,negative
"No, it's only been six years.",neutral,neutral
I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy.,neutral,neutral
...Joe.,neutral,neutral
Y'ever been in love?,neutral,neutral
...I d'know.,neutral,neutral
Then y'haven't. You're burning your tomatoes.,neutral,neutral
You're one to talk.,disgust,negative
"Joe, your dad's in love big time. And the worst part of it is, it's with two different women.",neutral,neutral
Oh man. Please tell me one of 'em is Ma.,disgust,negative
"Of course, course one of 'em's Ma. What's the matter with you.",surprise,negative
"Everything's gonna be all right. Okay, Dick?",neutral,neutral
"Hello, I am Guru Saj--Whoa!!  That's supposed to be a duck right? Cause otherwise, this is waaay out of my league.",surprise,negative
"Hey, Rach, how was work?",neutral,neutral
"Oh, great. Although I did sit down where there wasn't a chair.",neutral,neutral
"By the way, Ross dropped by a box of your stuff.",neutral,neutral
"Oh, well, I guess I had that one coming.",neutral,neutral
"I'm just gonna throw it out, it's probably just a bunch of shampoo and...",neutral,neutral
Something wrong?,neutral,neutral
No. Nothing.,neutral,neutral
"And then, and then you said that thing about, about bringing the Mesozoic era in the 21st century.",neutral,neutral
"Yeah, that's it?",surprise,positive
Yeah.,neutral,neutral
"Dude, I am sorry about what I said!",sadness,negative
"No, no, you're right, it is a ridiculous name!",disgust,negative
It's not that bad.,neutral,neutral
"Yes it is! From now on, I have no first name.",anger,negative
"So, you're just Bing?",neutral,neutral
Because we won our apartment back!,joy,positive
"What? Ace is high! Jack, queen, king, ace!",surprise,negative
"No! Ace is low! Ace, two, three, four!",anger,negative
I don't know. Ooh! Ooh! Look it!  Ah-ha!,surprise,positive
"All right, cut, let's pick again, pick again.",neutral,neutral
Okay.,neutral,neutral
Come on apartment! Come on apartment!  Oh! I know queen is high!,anger,negative
"Uh-huh, not as high as It worked! King!",surprise,positive
Yeah baby!,joy,positive
"But, we pick again! We pick again!",joy,positive
Why?!,neutral,neutral
I don't know!,fear,negative
Tickets please!  That's courtside baby!,joy,positive
"Seriously, good game though. Good game.   What are they so mad about? They get the apartment back!",surprise,negative
No they didn't!,joy,positive
"You know, I don't think we brought enough stuff. Did you forget to pack the baby's anvil?",neutral,neutral
It's gonna be worth it.,neutral,neutral
"It's a known fact that women love babies, all right?",neutral,neutral
Women love guys who love babies.,neutral,neutral
It's that whole sensitive thing.,neutral,neutral
"Quick, aim him at that pack o' babes over there.",neutral,neutral
Maybe one of them will break away.,neutral,neutral
"No, no wait, for get them, we got one, hard left.",joy,positive
"All right, gimme the baby.",neutral,neutral
"No, I got him.",neutral,neutral
"Oh, seriously you want him?",surprise,positive
Hello.,neutral,neutral
"Well, don't, don't think me immodest, but, me?",surprise,positive
You wanna smell him?,neutral,neutral
"Oh, yeah. He's got that great baby smell. Get a whiff of his head.",joy,positive
What'd I tell you? What'd I tell you?,joy,positive
"Well, we are great guys.",neutral,neutral
Bye.,neutral,neutral
"Well, not really.",neutral,neutral
"I mean technically it's-it's not against the rules or anything, but it is frowned upon.",neutral,neutral
"Especially by that professor we ran into last night, Judgey von Holierthanthou.",anger,negative
"Well Ross, you be careful now. You don't want to get a reputation as y'know Professor McNailshisstudents.",joy,positive
Yeah. What-what should I do?,fear,negative
"Well Ross, it seems pretty clear.",neutral,neutral
I mean what's more important?,neutral,neutral
"What people think or how you feel, huh?",neutral,neutral
"Ross, you gotta follow your heart.",neutral,neutral
Joey that is so sweet.,joy,positive
Hey.,neutral,neutral
"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?",neutral,neutral
I couldn't do it.,sadness,negative
You couldn't do it?!,surprise,negative
"Hey, relax I just need more time. We're going to dinner tonight.",neutral,neutral
What?! You're going out with her again!,surprise,negative
Going out with who?,neutral,neutral
"Uh, Dana Keystone from college.",neutral,neutral
Oh yeah! Wasn't she uh,surprise,positive
"No, that was Dana Caplin.",neutral,neutral
Joey! You didn't even know her!,surprise,positive
Ah whatever!,anger,negative
"Morning! Hey, how's my favorite genius and my little robot buddy?!",joy,positive
Don't touch him!,anger,negative
Okay!,surprise,positive
All right.,neutral,neutral
"Umm, all right Wayne, level with me.",neutral,neutral
I-I keep hearing all these rumors that I might get fired.,fear,negative
"Okay, they even have actors coming in to read for my part!",fear,negative
"Come on man, you-you got to give me a second chance!",sadness,negative
"I mean, I love-I love this little guy!",joy,positive
Ah-ah!!,surprise,negative
"Okay, that's why you didn't want me to touch him right?",surprise,negative
Here you go!,neutral,neutral
Okay?,neutral,neutral
Stupid!,anger,negative
I can't believe it!,surprise,negative
God!,anger,negative
"Hey, how you doin'?",neutral,neutral
Hey.,neutral,neutral
"Hi. Look um, about what happened earlier...",sadness,negative
"No, hey, well, I-I completely understand. You were, you were stressed.",neutral,neutral
I was gonna give you a chance to apologise to me.,disgust,negative
For what? For letting you throw me out of your office?,anger,negative
You had no,anger,negative
"Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I.",anger,negative
"But I told you, I didn't have the time!",anger,negative
"Yeah, well you never have the time. I mean, I don't feel like I even have a girlfriend anymore, Rachel.",anger,negative
"Wh, Ross what do you want from me?",anger,negative
"You want me, you want me to quit my job so you can feel like you have a girlfriend?",anger,negative
I know.,neutral,neutral
"Ooh, I have to tell you something.",joy,positive
What?,neutral,neutral
But I can't tell you.,neutral,neutral
"Okay, but wouldn't it be easier if you had to tell me something that you could tell me.",neutral,neutral
"Well, sure in a perfect world. But, no, I promised I wouldn't tell, and I swore to like all my gods.",neutral,neutral
Okay. Does it have to do with Ross and Rachel?,neutral,neutral
No.,neutral,neutral
Does it have to do with Joey?,neutral,neutral
No.,neutral,neutral
Does it have to do with-with Chandler and that sock that he keeps by his bed?,neutral,neutral
"No, but let's come back to that later!",neutral,neutral
Hi!,joy,positive
Richard!,joy,positive
"Actually, I'm not here to complement the chef.",neutral,neutral
"Ohh Oh, that's okay I hate when people come back to complement the chef.",neutral,neutral
Like I have nothing better to do!,neutral,neutral
So what's up?,neutral,neutral
"Well, it was great seeing you the other night.",joy,positive
"Oh, good to see you too. Did you come down here to tell me that?",neutral,neutral
No! I came here to tell you something else.  I came here  to tell you I still love you.,joy,positive
"One pregnant woman at a time, please! I just want you to be okay.",disgust,negative
So forcing her to marry Bobby is gonna make that happen?,sadness,negative
"Maybe!  Well! Wellso-so uh, what kind of music does Numb NutsOh forget it! I can't!",anger,negative
"Joey, I am scared to death about this.",fear,negative
"But I really think I can do it, I'm just gonna need some help.",fear,negative
And Bobby's gonna be here the whole time.,neutral,neutral
"You bet I am!  And to answer your earlier question, we're straight-up gangster rap.",joy,positive
"Look, Rachel's told me how much easier you've made all this on her. Why can't you do that for me?",anger,negative
Because! Cause Cause you're my baby sister!,sadness,negative
And you're my big brother!,joy,positive
"I mean, you're my favorite guy in the whole world.",neutral,neutral
I'm not even scared to tell mom and dad.,neutral,neutral
I was scared of telling you.,fear,negative
"Well I'd be scared of them, but all right.",fear,negative
"Joey, I can't stand the thought of having this baby with you mad at me.",sadness,negative
I want him to have his uncle.,sadness,negative
Is my baby gonna have his Uncle Joey?,sadness,negative
Of course he's gonna have his Uncle Joey!,joy,positive
"We're gonna be all right. I mean, even if we're not married this baby is gonna be so loved. Not just by us.",joy,positive
That's right! By his uncle too!,joy,positive
And by you.,joy,positive
"Okay Bobby, why don't we just come over here and let them have a little moment.",neutral,neutral
Come here!,joy,positive
No! Seriously! What's wrong with you?!,anger,negative
I had a really nice time tonight.,joy,positive
So did I. I'm really glad Monica asked us out.,joy,positive
"I'd love to ask you in, but uh, my sister's visiting and I think she's asleep on the couch.",neutral,neutral
You're sister? You're sister's asleep on the couch?  Ohhh! I saw,surprise,positive
